target_id	10_compatible1	10_compatible2	10_compatible4	10_incompatible1	10_incompatible2	10_incompatible3
AT1G01448.1	1.31461	1.48171	0.174985	1.7256	0.648353	1.83483
AT1G01448.2	0.218229	0.46113	0.61871	0.616737	0.890003	0.645878
AT1G01448.3	0.0466812	0.375282	0.367444	0.273254	0.269571	0.284567
AT1G03545.2	2.00507	1.75021	2.76574	2.06231	2.00868	2.1926
AT1G04033.1	0	0.250836	0	0	0.140988	0.249327
AT1G04047.1	0.316832	0.989446	0	0.711395	0.444285	0.312471
AT1G04053.1	0.597142	0.873953	1.93224	0.832814	0.629775	1.15183
AT1G04067.1	0	0.0748471	0.0771092	0.0768614	0.0838325	0
AT1G04093.1	0.161086	0.298995	0.156418	0.38646	0	0.151957
AT1G04123.1	1.07464	1.20176	0.826397	1.84474	1.12997	1.43159
AT1G04127.1	2.8017	3.93108	1.00818	4.00145	6.63177	5.00098
AT1G04183.1	7.21547	8.50089	10.3979	9.32927	12.6991	12.5398
AT1G04233.1	0	0	0.129082	0.641808	0.281328	0
AT1G04247.1	0.538381	0.599068	0.695215	0.660502	0.613414	0.668692
AT1G04293.1	2.24136	0.49711	2.68768	3.54681	3.7273	3.26999
AT1G04295.1	0.726587	0.464902	1.15587	0.946758	1.039	0.776953
AT1G04357.1	21.0843	10.8854	10.8203	9.40564	16.5635	11.351
AT1G04363.1	0.500147	0.232977	0.240087	0.250586	0	0.24764
AT1G04425.1	1.65946	0.870995	3.63712	0.90095	1.67803	1.0802
AT1G04463.1	0.210505	0.256398	0.238936	0.264888	0.320018	0.176248
AT1G04467.1	0.222183	0	0	0.325196	0	0.318871
AT1G04473.1	0	0.099548	0	0.100659	0	0.0995676
AT1G04477.1	0.694148	0.129627	0.322573	0.323892	0.583325	0.316935
AT1G04483.1	0.400164	0.750011	0.385039	0	0	0
AT1G04487.1	0.0853958	0.079404	0	0.16241	0.177469	0.0807054
AT1G04503.1	0.0642261	0	0	0.379638	0.341002	0
AT1G04563.1	0.326227	0.30442	0.312744	0.310015	0.684518	0
AT1G04567.1	0.789127	0.737466	0.507386	1.13524	0.967259	0.251154
AT1G04583.1	0.311012	0.728618	0.527307	0.30001100000000003	0.164108	0.447566
AT1G04677.1	0	0	0	0.167672	0	0.168069
AT1G04693.1	0.338166	0.430802	0.55382	0.55131	0.359551	0.219909
AT1G04707.1	0.101873	0.22284	0	0.0327376	0.10835	0.0980472
AT1G04713.1	0.432841	0.806392	0.415851	0.412558	0	0.411501
AT1G04743.1	0	0.217963	0.161998	0.0697346	0	0.159553
AT1G04763.1	0.560772	0.522558	0.538089	0.266985	0	0.266177
AT1G04767.1	0.377689	0.153869	0.160548	0.0529347	0.11546	0.158461
AT1G04823.1	0.182305	0.229028	0.0590881	0.118572	0.322823	0.17555
AT1G04827.1	0.0504108	0.0480108	0.148965	0	0	0.144718
AT1G04837.1	0.155845	0.204943	0.152602	0.156159	0.100281	0.0224146
AT1G04873.1	0	0.330507	0	0	0.371809	0.336682
AT1G04887.1	0.0705731	0.0782491	0.170157	0.175228	0.0915127	0.10971
AT1G04917.1	0.09818	0.188362	0.147326	0.142965	0.156502	0.190275
AT1G04933.1	0.050643	0.140235	0.0729208	0.122602	0.0843829	0.0554528
AT1G04953.1	0.049336	0.23082	0.0480807	0.0470941	0.207462	0.0950369
AT1G04973.1	0	0.0597401	0.0617186	0	0	0
AT1G04977.1	0.493362	0.137807	0.288329	0.472877	0.365952	0.479504
AT1G04983.1	0.186714	0.175774	0	0.177513	0.386327	0.350631
AT1G05033.1	0	0.0835566	0.085694	0.332198	0.186094	0
AT1G05047.1	0.262313	0.240674	0.252019	0.333764	0.278092	0.0832301
AT1G05113.1	0	0	0	0.516189	0.571758	0
AT1G05147.1	0.0576994	0.165351	0.461718	0.0566813	0.0619048	0.0571513
AT1G05163.1	2.94341	3.94476	3.18998	3.8114	3.62771	2.06446
AT1G05183.1	0.20806	1.13139	0.188554	0.302661	0.233656	7.0392e-9
AT1G05203.1	0.119385	0.111512	0	0	0.372048	0.224483
AT1G05213.1	0.0674674	0.0500208	0.0835211	0.0250079	0.027151	0.0243875
AT1G05253.1	0	0.14843	0	0.152727	0	0.302916
AT1G05263.1	1.26357	0.788851	0.405425	0	0.444944	0.804539
AT1G05287.1	0	0.102745	0	0.103796	0.116251	0.105938
AT1G05297.1	0	0	0.169518	0.33674	0.185133	0
AT1G05333.1	0.12061	0.0568373	0.0593997	0.0580678	0	0
AT1G05333.2	10.986	11.8431	9.0528	6.27011	9.29271	20.569
AT1G05337.1	0.114684	0.214723	0	0	0	0
AT1G05347.1	0	0.160816	0.0507655	0	0.105881	0.0836295
AT1G05387.1	0.205457	0.383102	0	0	0	0
AT1G05397.1	2.11264	1.66572	1.07424	0.81585	1.31816	1.34231
AT1G05467.1	0.146138	0.136432	0	0	0	0.139338
AT1G05487.1	0	0	0	0.237919	0.197089	0.242317
