target_id	10_compatible1	10_compatible2	10_compatible4	10_incompatible1	10_incompatible2	10_incompatible3
AT1G04677.1	0	0	0	0.167672	0	0.168069
AT1G05113.1	0	0	0	0.516189	0.571758	0
AT1G05487.1	0	0	0	0.237919	0.197089	0.242317
AT1G06003.1	0	0	0	0.108113	0.118228	0.160537
AT1G06073.1	0	0	0	0.339698	0.375322	0.33986
AT1G06907.1	0	0	0	0.0969892	0.105295	0.193152
AT1G09293.1	0	0	0	0	0.213085	0.193042
AT1G09513.1	0	0	0	0.176091	0.193824	0
AT1G29357.4	0	0	0	0.433656	0.382068	0
AT1G68872.1	0	0	0	0.187316	0	0.169036
AT2G04555.1	0	0	0	0.733893	0	0.367883
AT2G05725.1	0	0	0	0.177091	0	0.353128
AT2G06305.1	0	0	0	0	0.287228	0.520049
AT2G07935.1	0	0	0	0.10841	0	0.108821
AT2G09175.1	0	0	0	0.509697	0.280659	0
AT2G09310.1	0	0	0	0.327165	0	0.16259
AT2G22955.2	0	0	0	0.310015	0	0.31
AT3G02895.1	0	0	0	0.216117	0.238055	0
AT3G04825.1	0	0	0	0.046805	0.353623	0.222271
AT3G05815.1	0	0	0	0	0.375322	0.33986
AT3G06025.1	0	0	0	0	0.172616	0.155787
AT3G06795.1	0	0	0	0	0.345393	1.25106
AT3G07105.1	0	0	0	0	0.241225	0.218504
AT3G08585.1	0	0	0	0.291973	0	0.291517
AT3G09655.1	0	0	0	0.112523	0.125064	0
AT4G04355.1	0	0	0	0.494652	0.81681	0.492976
AT4G05065.1	0	0	0	0.247326	0.27227	0
AT4G05425.1	0	0	0	0.15502	0	0.158019
AT4G05680.1	0	0	0	0.271267	0	0.270403
AT4G06175.1	0	0	0	0.423966	0.939294	0.424232
AT4G07030.1	0	0	0	0.370597	0	0.742971
AT4G26795.2	0	0	0	0.583459	0	0.171943
AT5G01675.1	0	0	0	0	0.127035	0.114932
AT5G03535.1	0	0	0	0	0.303608	0.27502
AT5G04435.1	0	0	0	0.304697	0.336193	0
AT5G06285.1	0	0	0	0.106549	0.116824	0.106474
AT5G08715.1	0	0	0	0.994955	0	0.997289
AT5G09385.1	0	0	0	0.299499	0	0.299386
AT5G09535.1	0	0	0	0.117097	0	0.116865
AT5G09895.1	0	0	0	0	0.200673	0.18172
TCONS_00004442	0	0	0	0.301219	0	0.294446
TCONS_00007875	0	0	0	0.199455	0	0.17034
TCONS_00012569	0	0	0	0.307225	0.408328	0.417289
