target_id	60_compatible1	60_compatible2	60_compatible3	60_incompatible1	60_incompatible3	60_incompatible4
AT1G01010.1	172.591	127.156	140.023	235.107	236.048	197.872
AT1G01020.1	2.4541	2.46768	3.41139	2.6851	3.73324	4.07462
AT1G01020.3	2.85087e-4	0.446318	0.720861	0.900176	9.08476e-10	0.200869
AT1G01020.4	0.897649	0.504369	1.60003e-6	0	0.633783	0.542535
AT1G01020.5	1.07671	1.2143	1.19667	2.90011	1.2427	1.13124
AT1G01030.1	17.95	16.5132	20.4237	22.2597	15.811	17.2874
AT1G01030.2	0.955218	0.307945	0.39647	1.02025	1.51001	1.11544
AT1G01040.1	7.96837	9.89794	4.86299	7.27613	5.15138	4.65653
AT1G01040.2	7.67447	2.69704	5.6162	3.68528	6.98141	7.1996
at1g01046	5.81106	1.39036	0.671235	1.57781	0	1.87802
AT1G01050.1	72.2952	79.0084	76.276	73.4796	78.4429	79.2383
AT1G01050.2	4.75789	1.42777	0	0	2.34708	2.30127
AT1G01060.1	6.51595	4.12246	6.12155	1.06427	2.7461700000000002	1.24584
AT1G01060.4	8.78356	6.71695	5.67062	0.7929	4.00974	1.08461
AT1G01060.7	0.905656	0.148734	0	0.148472	0.119315	0
AT1G01080.1	0.796987	4.96719	3.97878	3.70517	2.75527	4.77287
AT1G01080.2	5.07554	6.65271	4.8973	5.84664	4.17422	7.26123
AT1G01080.3	2.10213	2.48228	1.55895	2.98675	1.91696	2.65704
AT1G01090.1	155.999	143.223	133.899	127.149	153.003	155.417
AT1G01100.1	106.197	146.364	155.923	138.024	154.421	163.778
AT1G01100.2	140.453	223.978	162.413	186.992	179.551	204.037
AT1G01100.3	101.045	118.322	98.4841	89.565	100.067	85.6143
AT1G01100.4	4.63033	2.16793	3.09782	2.53196	2.83099	6.09539
AT1G01110.2	7.21767	6.33886	3.03387	4.81456	5.01081	5.46789
AT1G01120.1	35.1899	29.704	32.384	53.149	39.112	43.8614
AT1G01140.1	23.642	20.4786	21.5603	20.856	19.0681	21.8538
AT1G01140.2	0	0.529422	0.290807	0.734997	0.236835	0.259508
AT1G01160.1	17.0428	20.9717	19.2137	19.1957	19.2489	19.5478
AT1G01170.1	38.8064	77.9399	64.162	65.7395	56.1238	74.0587
AT1G01170.2	1.5022200000000001	0.804341	1.54402	0.915569	1.75881	1.65632
AT1G01180.1	0.0587396	0.265295	0.292292	0.31775	0.183287	0.291763
AT1G01190.1	0.070793	0.0768097	0.0528297	0.110976	0.0323486	0.0896587
AT1G01200.1	1.34058	1.37491	0.861358	1.22279	0.775724	1.17106
AT1G01210.1	15.932	15.9146	13.5178	13.9558	19.0527	17.9828
AT1G01210.3	4.62329	3.96188	3.89866	4.12667	4.16165	5.62053
AT1G01220.1	2.06223	0.919402	0.0370253	0.450428	2.01461	4.84644
AT1G01220.5	1.97012	3.1482	1.42977	2.31321	1.08218	3.66103
AT1G01220.6	2.89528	2.64665	4.75664	2.30562	1.5785	1.5135
AT1G01220.7	0.953933	4.40017	4.53737	4.27521	2.4147	0.880076
AT1G01220.8	1.96816	0.782483	0.302743	0.811734	1.72895	0.343872
AT1G01225.1	0.598568	1.08513	1.30089	0.987901	0.965698	0.988109
AT1G01230.1	48.9735	47.6754	46.9624	53.3678	63.5154	56.8593
AT1G01240.1	14.5382	13.1727	16.0369	16.6982	17.8658	14.2775
AT1G01240.3	2.67345	3.40258	3.77661	3.71432	3.62806	4.09604
AT1G01240.4	0.240294	0	1.12537	0.994662	0	0.541476
AT1G01250.1	14.4651	15.2454	9.15362	10.795	12.5218	14.8477
AT1G01260.1	10.8479	11.1675	9.93154	9.80443	9.92394	7.90292
AT1G01260.2	2.81513	0.855138	8.35376e-9	2.47407	1.48325	2.05391
AT1G01260.3	2.90598	3.48075	3.57585	1.91836	3.01505	3.47492
AT1G01290.1	5.35372	4.76525	3.4726	2.93818	5.73545	4.60343
AT1G01290.2	14.2154	14.0246	11.8565	11.8658	14.1023	13.3593
AT1G01300.1	24.3561	39.4777	24.921	30.1957	22.7071	34.5928
AT1G01305.1	0.7188	0.110532	0.381651	0.60311	0.354347	0
AT1G01310.1	649.54	648.171	822.477	749.757	643.638	653.349
AT1G01320.3	22.832	30.1254	24.7952	21.901	15.5453	22.1556
AT1G01340.2	6.28122	6.47191	5.86968	4.46579	3.96721	5.59803
AT1G01350.1	36.9181	31.0429	28.7644	31.1886	36.4647	34.3222
AT1G01355.2	0.618572	0.353773	0.536968	0.962457	0.449818	0.276439
AT1G01355.3	0.137518	0.887787	0.938914	0.585201	0.745649	0.948978
AT1G01360.1	40.5995	29.2143	40.8264	31.4793	41.3949	29.762
AT1G01370.2	1.57245	1.26914	0.798437	1.02738	1.12769	0.956357
AT1G01430.1	30.6905	26.2289	18.8569	19.6972	25.131	29.5104
AT1G01440.1	4.18061	3.96502	3.38523	3.56987	3.50723	3.81309
AT1G01448.1	1.21061	1.34187	0.186607	0.30404	0.259149	2.39068
AT1G01448.2	0.341921	0.64109	0.492358	0.557211	0.831373	0.351917
AT1G01448.3	0.265766	0.0733747	0.0980824	0.20939	0.0529355	0.556297
AT1G01460.1	106.6	111.838	143.097	135.922	100.889	128.515
AT1G01470.1	95.1971	51.702	106.328	250.27	211.363	170.964
AT1G01480.1	2.63101	2.41793	1.87628	4.84643	2.79792	1.65548
AT1G01480.2	0	1.06355	1.29476	0.797346	0.604439	5.62993e-8
AT1G01490.1	55.7922	43.8913	41.9035	50.4232	59.4856	46.4859
AT1G01490.2	8.90036	6.5563	6.88082	11.9365	11.5952	10.4684
AT1G01490.3	3.96583	3.03389	3.64301	4.3989	3.29429	3.37602
AT1G01490.4	0.654361	0.555687	0.844846	0	0.554185	0.487049
AT1G01500.1	39.7736	39.5201	50.8494	66.0248	54.4432	61.2883
AT1G01510.1	14.4826	15.2343	14.6139	14.7287	14.4182	14.5666
AT1G01520.1	6.82106	4.82752	3.68089	1.83342	5.05683	2.52512
AT1G01520.2	1.51377	3.17136	3.21966	0.979373	3.10723	1.12132
AT1G01520.3	2.72884	0.104057	4.24739	0.417691	2.47918	1.03416
AT1G01520.4	2.68938	1.04307	3.39465	1.2871	1.20857	0.705172
AT1G01520.5	1.87115	1.79838	3.56971	0.633559	2.09225	0.397788
AT1G01540.1	21.2626	17.2872	18.3718	13.863	14.9072	11.2277
AT1G01540.2	102.63	72.9873	62.5424	70.3535	71.1927	66.3613
AT1G01550.1	108.931	112.835	97.3302	107.861	145.754	141.089
AT1G01550.2	255.326	268.611	209.348	167.442	126.623	98.0201
AT1G01560.2	2.17375	1.73985	1.26915	2.22404	0.773541	0.723506
AT1G01560.3	0.368201	0.219464	0.305483	0.205375	0.180379	0.295875
AT1G01570.1	5.4052	9.43257	13.9715	7.53236	17.3038	11.5922
AT1G01570.2	39.6911	34.1807	25.506	27.9811	32.1766	30.2831
AT1G01580.1	0.0561403	0.0123869	0.082116	0.0833276	0.0420196	0.0821566
AT1G01590.1	0.835346	0.8609	0.594076	0.626387	0.955983	1.01989
AT1G01600.1	35.0229	37.2694	22.2588	15.1145	18.817	17.1663
AT1G01610.1	66.6141	56.936	54.2404	50.9614	55.9374	63.1402
AT1G01620.1	158.05	205.885	288.702	313.616	255.022	266.568
AT1G01630.1	56.9536	48.2407	45.5362	43.0459	52.5515	54.7391
AT1G01640.1	0.682937	1.12608	0.630201	1.25716	2.20223e-5	1.50883
