target_id	60_compatible1	60_compatible2	60_compatible3	60_incompatible1	60_incompatible3	60_incompatible4
AT1G01370.3	0	0.281616	0.174548	0	0	0
AT1G02530.2	0.258331	0.344813	0	0	0	0
AT1G03620.1	1.94637	2.25934	0.881667	0	0	0
AT1G04300.4	0.402074	0.243962	0	0	0	0
AT1G04430.3	0	1.68467	1.64229	0	0	0
AT1G04473.1	0.264491	0	0.112414	0	0	0
AT1G04487.1	0.119774	0.198828	0.180866	0	0	0
AT1G04490.7	0	0.315845	0.324389	0	0	0
AT1G04517.1	3.26882	0	5.19621	0	0	0
AT1G04643.2	0	0.129312	0.122383	0	0	0
AT1G04863.1	0.22831	0.10201	0	0	0	0
AT1G04895.1	0.452923	0.388972	0	0	0	0
AT1G05000.2	0.304302	0	0.443906	0	0	0
AT1G05153.1	0.663268	0.282872	0	0	0	0
AT1G05710.5	0	1.66291	0.575611	0	0	0
AT1G06393.1	0.339998	0.144338	0.130611	0	0	0
AT1G06630.8	0.71263	0.530399	0	0	0	0
AT1G06787.1	0	0.262011	0.236511	0	0	0
AT1G07010.3	0.309547	0	0.330999	0	0	0
AT1G07500.1	0	0.986973	0.297893	0	0	0
AT1G07603.1	0.414746	0	0.113844	0	0	0
AT1G07670.2	0.362117	0	0.60357	0	0	0
AT1G07813.1	0	0.157646	0.296943	0	0	0
AT1G08657.1	0.0673794	0.123704	0.177783	0	0	0
AT1G09363.1	0.105759	0.0957482	0.174877	0	0	0
AT1G09527.1	0.148425	0	0.114566	0	0	0
AT1G09665.1	0.12929	0.108884	0	0	0	0
AT1G09753.1	0	0.388972	0.353613	0	0	0
AT1G09803.1	0.162088	0.426404	0.134523	0	0	0
AT1G09917.1	0.157786	0	0.125888	0	0	0
AT1G10250.1	0.251762	0	0.38523	0	0	0
AT1G10745.1	0.201671	0.180848	0	0	0	0
AT1G10960.1	0	4.31721	9.28455	0	0	0
AT1G11710.2	0.427984	0	0.593166	0	0	0
AT1G15170.2	0.596383	0.698105	1.6148	0	0	0
AT1G15330.1	0.0608377	0.585177	0.125475	0	0	0
AT1G16240.3	4.21787	4.75155e-8	0.777644	0	0	0
AT1G17460.3	0.101008	0	0.231218	0	0	0
AT1G18770.1	0	0.225144	0.203097	0	0	0
AT1G18870.2	0.283949	0.396465	0	0	0	0
AT1G19115.2	0.255844	0.146677	0	0	0	0
AT1G19940.3	0.163503	0.388795	0	0	0	0
AT1G21050.2	0	0.205647	0.208716	0	0	0
AT1G21370.2	0	0.210808	0.262141	0	0	0
AT1G23000.1	0	0.435135	0.206955	0	0	0
AT1G23380.2	0	0.452931	0.871528	0	0	0
AT1G24390.1	0.142546	0.175845	0	0	0	0
AT1G27030.1	0	0.591429	0.228235	0	0	0
AT1G29170.3	0.297621	0.111147	0.0689247	0	0	0
AT1G29535.3	0	1.33691	2.57724	0	0	0
AT1G30300.4	0	0.50114	0.211758	0	0	0
AT1G32710.1	0	0.294846	0.33199	0	0	0
AT1G33500.2	0.312062	0.323508	0	0	0	0
AT1G34380.3	0	0.567776	0.851093	0	0	0
AT1G34807.1	0.484903	0.29589	0.135948	0	0	0
AT1G34827.1	0.484903	0.29589	0.135948	0	0	0
AT1G34910.1	0.587084	0.341826	0.235258	0	0	0
AT1G35190.2	0	0.17346	0.362265	0	0	0
AT1G35353.1	0.216832	0.192686	0	0	0	0
AT1G36340.1	0	0.247848	0.150004	0	0	0
AT1G43170.6	0.31657	0.277928	0	0	0	0
AT1G43245.2	0.147561	0.20123	0.481286	0	0	0
AT1G48145.1	0.220906	0	0.337885	0	0	0
AT1G49830.2	0.178871	0.331322	0.230491	0	0	0
AT1G49938.1	4.10831e-6	0.175038	0.406545	0	0	0
AT1G50600.2	1.05484	0.93479	1.58575	0	0	0
AT1G50690.1	0	0.173718	0.142644	0	0	0
AT1G52170.1	0	0.72927	1.28398	0	0	0
AT1G53660.5	0.146056	0	0.188873	0	0	0
AT1G55490.5	0	0.411416	0.369888	0	0	0
AT1G55810.2	0.132355	0	0.136194	0	0	0
AT1G56230.4	0.164797	0	0.147381	0	0	0
AT1G56460.2	0	0.214581	0.246606	0	0	0
AT1G56520.3	0.411232	0	0.658774	0	0	0
AT1G58248.1	1.81397	2.76245	0.320211	0	0	0
AT1G60140.4	0.172435	0.133123	0	0	0	0
AT1G61430.4	0.183408	0.224244	0.207237	0	0	0
AT1G62510.1	0	1.95044	0.10649	0	0	0
AT1G62900.1	0.221	0	0.123914	0	0	0
AT1G63855.2	0	0.402518	0.758851	0	0	0
AT1G64540.1	0	0.268884	0.205176	0	0	0
AT1G64690.3	0.125527	0	0.389158	0	0	0
AT1G66760.1	0.168082	0.729532	0.168649	0	0	0
AT1G66940.2	0.31337	0.230172	0	0	0	0
AT1G67520.1	0.105019	0	0.109886	0	0	0
AT1G67850.3	0.231946	0.175085	0	0	0	0
AT1G68230.1	0.202394	0.576628	0	0	0	0
AT1G68877.1	1.27932	1.10742	1.01536	0	0	0
AT1G69020.1	0.702899	0	0.378518	0	0	0
AT1G69100.2	0	0.280734	0.604709	0	0	0
AT1G69230.2	0.133398	0	0.111852	0	0	0
AT1G69310.3	1.96779	0	0.898522	0	0	0
AT1G69526.3	0	0.156633	0.272378	0	0	0
AT1G69828.1	0	0.476205	0.869681	0	0	0
AT1G70090.2	0	0.376406	1.45241	0	0	0
AT1G71235.1	0.126682	0.226961	0	0	0	0
AT1G72360.3	0	0.899773	0.279935	0	0	0
AT1G74150.4	0	0.18262	0.264519	0	0	0
AT1G75180.2	0.214114	0.191903	0	0	0	0
at1g76135	0	2.32063	4.38807	0	0	0
AT1G79990.2	0.173876	0.149433	0.341043	0	0	0
AT2G02080.4	0.213434	0.313973	0.68424	0	0	0
AT2G02525.1	0	0.580317	0.532134	0	0	0
AT2G04025.1	0.135941	0.118614	0	0	0	0
AT2G06945.1	0.668661	0	0.532134	0	0	0
AT2G07495.1	0.372877	0.318823	0	0	0	0
AT2G07765.1	1.61977	1.37598	0	0	0	0
AT2G08020.1	0.66239	0	0.117671	0	0	0
AT2G08905.1	6.88039	0	2.67302	0	0	0
AT2G09195.1	0	0.134161	0.125974	0	0	0
AT2G09310.1	0.250327	0.189394	0.182683	0	0	0
AT2G09450.1	0.372504	0	0.152305	0	0	0
AT2G09465.1	1.16905	0	0.540347	0	0	0
AT2G09705.1	3.46204	1.51869	7.03596	0	0	0
AT2G12475.1	0	0.718669	0.260158	0	0	0
AT2G14045.3	0	0.218968	0.154995	0	0	0
AT2G14210.2	0.445609	0	0.178556	0	0	0
AT2G15460.1	0.15558	0.138869	0	0	0	0
AT2G17020.3	0.335402	0.200783	0	0	0	0
AT2G17410.2	0	0.387598	0.192041	0	0	0
AT2G18310.1	0	0.72927	1.28398	0	0	0
AT2G20070.1	0	1.20379	0.112762	0	0	0
AT2G21880.2	0.316398	0.625792	0.298732	0	0	0
AT2G22990.4	0.603737	0.530346	0.448567	0	0	0
AT2G23760.1	0.260578	0.142883	0	0	0	0
AT2G25510.2	1.40952	0.825691	0	0	0	0
AT2G25710.4	0.387989	0.330507	0.277877	0	0	0
AT2G28250.6	0	0.399049	0.204347	0	0	0
AT2G28560.3	0.597662	0.31562	0.229198	0	0	0
AT2G28630.1	0	0.255729	0.205485	0	0	0
AT2G29890.3	0.147219	0.1371	0	0	0	0
AT2G30390.2	0	0.39531	0.555918	0	0	0
AT2G30480.9	0.240378	0	0.206196	0	0	0
AT2G30630.3	0.600199	0.597794	0	0	0	0
