target_id	60_compatible1	60_compatible2	60_compatible3	60_incompatible1	60_incompatible3	60_incompatible4
AT1G04473.1	0.264491	0	0.112414	0	0	0
AT1G04487.1	0.119774	0.198828	0.180866	0	0	0
AT1G04643.2	0	0.129312	0.122383	0	0	0
AT1G04863.1	0.22831	0.10201	0	0	0	0
AT1G05153.1	0.663268	0.282872	0	0	0	0
AT1G06393.1	0.339998	0.144338	0.130611	0	0	0
AT1G06787.1	0	0.262011	0.236511	0	0	0
AT1G07603.1	0.414746	0	0.113844	0	0	0
AT1G07813.1	0	0.157646	0.296943	0	0	0
AT1G08657.1	0.0673794	0.123704	0.177783	0	0	0
AT1G09363.1	0.105759	0.0957482	0.174877	0	0	0
AT1G09527.1	0.148425	0	0.114566	0	0	0
AT1G09753.1	0	0.388972	0.353613	0	0	0
AT1G09803.1	0.162088	0.426404	0.134523	0	0	0
AT1G09917.1	0.157786	0	0.125888	0	0	0
AT1G49938.1	4.10831e-6	0.175038	0.406545	0	0	0
AT2G06945.1	0.668661	0	0.532134	0	0	0
AT2G07495.1	0.372877	0.318823	0	0	0	0
AT2G08020.1	0.66239	0	0.117671	0	0	0
AT2G09195.1	0	0.134161	0.125974	0	0	0
AT2G09310.1	0.250327	0.189394	0.182683	0	0	0
AT2G09450.1	0.372504	0	0.152305	0	0	0
AT2G35738.1	0	0.325028	0.191256	0	0	0
AT3G01495.1	0	0.480994	0.439214	0	0	0
AT3G01655.1	0	0.285071	0.257511	0	0	0
AT3G02165.1	0.280017	0.237797	0.428953	0	0	0
AT3G02665.1	0.682531	0	0.789242	0	0	0
AT3G04285.1	0.179119	0	0.167115	0	0	0
AT3G05145.1	0.539442	0.932816	0.850893	0	0	0
AT3G05505.1	0.378563	0	0.293095	0	0	0
AT3G06815.1	0.338763	0.289127	0	0	0	0
AT3G07335.1	0	0.309106	0.279712	0	0	0
AT3G07805.1	0.701807	1.21697	0	0	0	0
AT3G08235.1	0.661358	0.573443	0	0	0	0
AT3G08300.1	0	0.854047	0.3886	0	0	0
AT3G29644.3	0.778936	0.330975	0	0	0	0
AT4G04195.1	0.972774	0.418852	0.380714	0	0	0
AT4G04425.1	0.707662	0.60407	0.546499	0	0	0
AT4G04975.1	0	0.288742	0.528268	0	0	0
AT4G05890.1	0.168932	0.151913	0.134958	0	0	0
AT4G06875.1	0.165786	0	0.127481	0	0	0
AT4G07135.1	0.15488	0.243747	0	0	0	0
AT4G08355.1	0.452923	0.388972	0.353613	0	0	0
AT4G08815.1	0.56727	0	0.448465	0	0	0
AT4G09975.1	0.248917	0	0.190355	0	0	0
AT4G37553.2	0.338394	0.333311	0.344362	0	0	0
AT5G01645.1	0	0.184403	0.332638	0	0	0
AT5G07555.1	0.363835	0.159943	0	0	0	0
AT5G16235.2	0.242649	0.365962	0.410134	0	0	0
TCONS_00004187	0.27859	0.251645	0	0	0	0
TCONS_00012564	0.395168	0.135544	0	0	0	0
TCONS_00015776	0.56976	0.931839	0	0	0	0
TCONS_00018214	0	0.540895	0.483223	0	0	0
TCONS_00030191	0.17699	0.076671	0.463335	0	0	0
TCONS_00051823	96.5078	0	0.394046	0	0	0
