lnc_id	pc_id	pearson_r	pearson_pval	spearman_rho	spearman_pval	lnc_expr_samples	pc_expr_samples
TCONS_00004098	AT1G04600.1	-0.900335144	0.014404636	-0.771428571	0.072396501	6	6
TCONS_00004098	AT1G11170.3	0.831327013	0.040276443	0.771428571	0.072396501	6	5
TCONS_00004098	AT1G11170.1	0.42037599	0.406579591	0.371428571	0.468478134	6	6
TCONS_00004098	AT1G11170.4	0.42421297	0.401850516	0.428571429	0.396501458	6	6
TCONS_00004098	AT1G11170.6	0.487825191	0.326306927	0.142857143	0.787172012	6	4
TCONS_00004098	AT1G11170.2	0.427300522	0.398058707	0.485714286	0.328723032	6	5
TCONS_00004098	AT1G11600.1	-0.335674708	0.515399433	-0.485714286	0.328723032	6	6
TCONS_00004098	AT1G13130.1	0.676017655	0.140443508	0.657142857	0.156174927	6	6
TCONS_00004098	AT1G23000.1	-0.283568837	0.586047812	-0.202919862	0.699797968	6	4
TCONS_00004098	AT1G23000.2	-0.509084918	0.302341744	-0.771428571	0.072396501	6	4
TCONS_00004098	AT1G26730.2	-0.398114001	0.43437849	-0.428571429	0.396501458	6	6
TCONS_00004098	AT1G26730.1	-0.788869204	0.062158614	-0.942857143	0.004804665	6	6
TCONS_00004098	AT1G30840.2	-0.363092474	0.479295645	-0.550782484	0.257369332	6	4
TCONS_00004098	AT1G32910.1	-0.523670397	0.28629765	-0.714285714	0.110787172	6	6
TCONS_00004098	AT1G51780.1	-0.836870442	0.037746338	-0.985610761	0.000309086	6	4
TCONS_00004098	AT1G58370.1	0.76162295	0.078462703	0.714285714	0.110787172	6	6
TCONS_00004098	AT1G61120.1	-0.721295626	0.105689854	-0.542857143	0.265702624	6	5
TCONS_00004098	AT1G62500.1	-0.569025074	0.238584571	-0.6	0.208	6	6
TCONS_00004098	AT1G74430.1	-0.680773207	0.136593096	-0.6	0.208	6	6
TCONS_00004098	AT1G78600.1	0.921676376	0.008961644	0.885714286	0.018845481	6	6
TCONS_00004098	AT1G78600.2	0.740545581	0.0922421	0.771428571	0.072396501	6	6
TCONS_00004098	AT1G01060.7	-0.78212831	0.066031135	-0.885714286	0.018845481	6	6
TCONS_00004098	AT1G01060.1	-0.845394454	0.034006554	-0.828571429	0.041562682	6	6
TCONS_00004098	AT1G01060.4	-0.756181824	0.081923788	-0.885714286	0.018845481	6	6
TCONS_00004098	AT1G01060.2	-0.693664972	0.126388308	-0.542857143	0.265702624	6	6
TCONS_00004098	AT1G01060.8	-0.545009805	0.263428973	-0.542857143	0.265702624	6	5
TCONS_00004098	AT1G02335.1	0.73879246	0.093433054	0.714285714	0.110787172	6	6
TCONS_00004098	AT1G03780.2	-0.573481028	0.234081818	-0.771428571	0.072396501	6	6
TCONS_00004098	AT1G03780.1	-0.379195602	0.458468733	-0.6	0.208	6	5
TCONS_00004098	AT1G04340.1	-0.949105342	0.003819484	-0.942857143	0.004804665	6	6
TCONS_00004098	AT1G05300.1	0.901293597	0.014133585	0.942857143	0.004804665	6	6
TCONS_00004098	AT1G05300.2	0.843617448	0.034771047	0.6	0.208	6	6
TCONS_00004098	AT1G05310.1	0.738654323	0.093527185	0.714285714	0.110787172	6	6
TCONS_00004098	AT1G09157.1	-0.905515286	0.012969292	-0.885714286	0.018845481	6	6
TCONS_00004098	AT1G14870.1	-0.612062149	0.196552161	-0.771428571	0.072396501	6	6
