lnc_id	pc_id	pearson_r	pearson_pval	pearson_padj	spearman_rho	spearman_pval	spearman_padj	lnc_expr_samples	pc_expr_samples	concurrent_samples
AT1G07128.1	AT1G07150.1	-0.932374032166945	0.00670527133150328	0.0150284600671386	-0.942857142857143	0.00480466472303207	0.00800777453838678	6	6	6
TCONS_00002624	AT1G21860.1	0.923644776011012	0.00852260027757497	0.0150284600671386	1	0	0	6	6	6
TCONS_00010383	AT1G14870.1	0.902507642045276	0.0137938190641065	0.0192043928007277	0.828571428571429	0.0415626822157434	0.0519533527696793	6	6	6
TCONS_00010383	AT1G14870.2	0.97345249667025	0.00104779995849254	0.00523899979246271	1	0	0	6	6	6
TCONS_00002624	AT1G21866.1	0.897012359712783	0.0153635142405822	0.0192043928007277	0.942857142857143	0.00480466472303207	0.00800777453838678	6	6	6
TCONS_00002624	AT1G21910.1	0.869459513636864	0.0244489694971614	0.0271655216635127	0.885714285714286	0.0188454810495627	0.0269221157850895	6	6	6
AT3G51238.1	AT3G51230.1	0.961915905042195	0.0021479788800549	0.007159929600183	0.942857142857143	0.00480466472303207	0.00800777453838678	6	6	6
TCONS_00054551	AT5G54960.1	-0.613167726291006	0.195516174444292	0.195516174444292	-0.6	0.208	0.208	6	6	6
TCONS_00059897	AT5G39050.1	0.997409784220022	1.00551375193788e-05	0.000100551375193788	1	0	0	6	6	6
TCONS_00063324	ATCG00130.1	0.921431216099373	0.00901707604028318	0.0150284600671386	0.714285714285714	0.110787172011662	0.123096857790735	6	6	6
