target_id	length	eff_length	est_counts	tpm
AT1G01010.1	1688	1449.85	5597	109.487
AT1G01040.1	6276	5779.75	793.214	3.89237
TCONS_00000004	6419	5873.8	361.814	1.74702
AT1G01040.2	5984	5454.47	1168.97	6.07833
at1g01046	208	60.0251	1	0.472497
AT1G01110.2	2113	2113.41	411.123	5.51722
TCONS_00000009	2045	2068.41	131.422	1.80204
AT1G01110.1	2092	2079.77	0	0
TCONS_00000011	1269	1171.28	767.455	18.5833
TCONS_00000012	1475	1394.87	426.811	8.67828
AT1G01160.1	1045	968.356	863.513	25.291
AT1G01180.1	1456	1372.19	3	0.0620066
AT1G01210.2	669	461.343	0	0
AT1G01210.3	806	720.885	184.726	7.26764
AT1G01210.1	624	410.438	285.01	19.6945
AT1G01220.4	3615	3415.53	11.6365	0.0966266
AT1G01220.1	3596	3401.92	5.52149	0.0460325
AT1G01220.6	3629	3427.34	13.4077	0.110951
AT1G01220.5	3648	3440.95	639.583	5.2717
AT1G01220.7	3405	3274.04	506.941	4.39142
AT1G01220.8	3554	3309.14	166.911	1.43054
AT1G01225.1	1077	983.695	47	1.35509
AT1G01230.1	876	741.098	1294	49.5212
AT1G01240.4	1608	1244.53	0	0
AT1G01240.3	2122	1653.96	206.458	3.54029
AT1G01240.2	1686	1293.31	71.8278	1.57516
AT1G01240.1	1497	1152.87	706.714	17.3859
AT1G01260.3	2679	2273.17	195.179	2.43519
AT1G01260.1	2709	2295.02	397.914	4.91739
AT1G01260.2	2542	2147.58	238.907	3.1551
AT1G01280.1	1602	1562.82	2	0.0362956
AT1G01290.2	1400	1042.48	536.936	14.6079
AT1G01290.1	2021	1519.72	257.064	4.79743
AT1G01300.1	2062	2482.02	2610	29.8241
AT1G01305.1	617	321.24	19	1.67748
AT1G01310.1	977	850.187	21135	705.05
AT1G01350.1	1434	1045.66	1096.71	29.7465
AT1G01355.2	792	773.986	9.31759	0.341431
AT1G01355.3	787	729.064	19.6824	0.765675
AT1G01360.1	1179	911.369	922	28.6925
AT1G01370.2	1463	1252.24	83.9703	1.90182
AT1G01370.1	1376	1148.61	57.0392	1.40842
AT1G01370.4	1346	1123.32	31.9905	0.807703
AT1G01448.2	2274	2690.91	58.7023	0.61871
AT1G01448.1	2386	2840.43	17.5247	0.174985
AT1G01448.3	2036	2338.15	30.2922	0.367444
TCONS_00000062	2385	2792.52	336.481	3.41741
AT1G01460.1	2169	1868.02	8926.62	135.531
TCONS_00000064	2350	2002.94	59.3819	0.840851
AT1G01480.1	2002	1861.62	0	0
AT1G01480.2	1741	1626.82	16	0.278941
TCONS_00000067	5602	6014.73	34.8699	0.164424
AT1G01500.1	1782	1840.18	3610.33	55.6442
AT1G01510.1	2642	2756.29	1525.02	15.6922
AT1G01520.3	1429	1168.46	154.036	3.73887
AT1G01520.4	1426	1169.05	190.351	4.61798
AT1G01520.2	1506	1221.85	100.356	2.32945
AT1G01520.1	1349	1115.66	117.608	2.98977
AT1G01520.5	1361	1102.82	192.427	4.94874
AT1G01540.2	2158	1963.42	3464.74	50.0483
AT1G01540.1	2060	1877.44	726.262	10.9713
AT1G01550.1	1572	1468.8	6063.73	117.088
AT1G01550.2	1595	1464.93	3746.27	72.5297
AT1G01560.2	1595	1326.7	8.75735	0.187212
AT1G01570.2	1885	1939.04	1379.92	20.1836
AT1G01570.1	1644	1659.41	1103.08	18.8532
AT1G01590.1	2646	2575.21	61	0.671814
AT1G01600.1	2323	2433.02	1542.05	17.9756
AT1G01630.1	1479	1276.9	1509	33.5169
AT1G01690.2	1867	1532.42	56.4768	1.04526
AT1G01690.1	1830	1498.48	158.95	3.00844
TCONS_00000092	1812	1491.37	127.592	2.42645
AT1G01690.3	1767	1444.24	33.9815	0.66732
AT1G01695.1	1658	1237.39	65	1.48984
AT1G04033.1	363	191.841	0	0
TCONS_00000096	2959	3028.21	51.0789	0.478397
TCONS_00000097	2522	2495.29	183.246	2.08279
TCONS_00000098	2702	2632.64	0	0
TCONS_00000099	3361	3205.68	497.631	4.4027
AT1G01710.1	1709	1626	1741.04	30.3684
AT1G01720.1	1653	1800.64	2877	45.3154
AT1G04047.1	451	277.383	0	0
AT1G01730.1	1780	1701.82	997.949	16.6313
TCONS_00000106	1419	1195.76	71.0511	1.68523
AT1G01750.1	947	747.415	88.1575	3.34526
AT1G01750.2	905	627.553	85.8425	3.87957
TCONS_00000110	3194	3163.55	1116.57	10.0102
AT1G01770.1	2539	2480.9	0	0
AT1G01780.1	939	800.465	6728.43	238.398
AT1G01790.1	4261	4282.96	0.665661	0.004408
TCONS_00000114	4232	4252.34	1333.6	8.89468
TCONS_00000117	4291	4286.33	375.276	2.48312
TCONS_00000116	4247	4258.9	476.472	3.17302
AT1G01790.2	4237	4282.57	605.986	4.01319
AT1G01800.1	1236	1065.5	1773.31	47.2024
AT1G01800.2	1144	1001.62	19.6869	0.557455
AT1G01810.1	653	382.599	30	2.22387
AT1G01840.1	822	741.46	24	0.918028
AT1G01900.1	2607	2983.96	1363	12.9549
AT1G01920.3	2197	2221.42	279.736	3.5715
AT1G01920.2	2025	2052.01	118.598	1.6392
AT1G01920.4	1914	1939.22	547.292	8.00434
AT1G01920.5	1970	1967.81	96.0728	1.38468
AT1G01920.1	1896	1887.7	138.3	2.07788
AT1G01940.1	877	698.477	360	14.6178
AT1G01950.1	3058	2709.64	626.916	6.56191
AT1G01950.4	3137	2803.21	19.686	0.199175
TCONS_00000134	3028	2683.13	368.398	3.89411
AT1G01970.1	1710	1486.18	510	9.73266
AT1G02000.1	2088	2395.2	25084	297.021
AT1G02010.1	2803	2669.37	20.4568	0.217351
AT1G02010.3	2707	2635.21	448.618	4.8283
AT1G02010.5	2676	2625.55	18.6135	0.201066
AT1G02010.4	2682	2638.96	104.954	1.12797
AT1G02010.2	2403	2283.64	566.724	7.03845
AT1G02010.6	1970	1868.54	904.633	13.731
AT1G02065.2	2153	2669.65	124.703	1.32482
AT1G02065.1	1712	2175.77	425.297	5.54386
AT1G02080.1	7527	7796.17	2920.87	10.6258
AT1G02080.2	7572	7885.15	2966.01	10.6683
AT1G02080.3	7561	7857.68	1261.31	4.55262
TCONS_00000151	7539	7822.85	478.808	1.73592
AT1G02100.1	1445	1236.94	256.58	5.88312
TCONS_00000154	6066	6940.38	25.0107	0.102205
TCONS_00000157	1420	1212.05	104.739	2.45088
TCONS_00000158	1511	1282.78	108.811	2.40577
TCONS_00000159	1378	1181.62	16.3584	0.392643
TCONS_00000160	4007	4776.38	321.797	1.9108
AT1G02100.3	1354	1144.31	544.53	13.4962
TCONS_00000162	1408	1200.27	59.7935	1.41289
AT1G02110.1	2474	3299.62	331.806	2.85202
AT1G02120.3	2145	1950.4	134.25	1.9522
AT1G02120.2	2251	2032.74	601.148	8.38747
AT1G02120.1	2150	1962.09	1794.53	25.9397
TCONS_00000168	5859	6662.03	134.2	0.571317
TCONS_00000169	5999	6771.52	187.763	0.786422
AT1G02145.4	1726	1623.77	182.353	3.18508
AT1G02145.3	1657	1547.49	808.018	14.809
AT1G02145.1	1645	1530.03	16.5211	0.306245
TCONS_00000175	5903	6678.94	539.134	2.2894
AT1G02150.1	2042	2203.91	1409.59	18.1397
AT1G02160.1	555	351.795	699.091	56.3608
AT1G02160.2	633	418.664	127.67	8.6488
AT1G02170.1	1451	1783.44	1136.66	18.0761
AT1G02190.1	2195	3000.48	1768	16.7118
AT1G02205.2	2705	3046.73	0	0
AT1G02205.4	2504	2845.71	5204.31	51.8686
AT1G02205.3	2388	2723.79	323.242	3.36579
AT1G02205.5	3118	3322.53	533.624	4.5551
AT1G02205.1	2499	2803.79	3178.82	32.1554
AT1G04093.1	499	362.64	2	0.156418
TCONS_00000189	1456	1174.77	101.268	2.44486
TCONS_00000188	1596	1302.27	294.848	6.42141
AT1G02305.1	1407	1144.61	5789.88	143.464
TCONS_00000195	1380	1098.56	110	2.83989
AT1G02350.1	1296	957.615	0	0
AT1G02370.1	1986	1657.69	325	5.56049
AT1G02380.1	1317	1030.92	157	4.31923
AT1G02390.1	2074	2103.79	3	0.0404437
TCONS_00000200	2923	2341.61	657.886	7.96836
AT1G02400.1	1414	1214.13	1478.84	34.5453
AT1G02400.2	1496	1257.8	228.274	5.14727
AT1G02410.1	1294	1030.12	1115.7	30.7182
AT1G02410.2	1456	1181.95	21.2959	0.511008
AT1G02420.1	1520	1112.7	83	2.1156
AT1G04123.1	304	137.279	4	0.826397
AT1G02490.1	298	132.064	1	0.214758
AT1G02500.1	1748	1812.14	8304.04	129.966
AT1G02500.2	1588	1638.4	8641.96	149.598
TCONS_00000212	4253	3877.72	14.1332	0.103371
AT1G02520.1	4310	3825.4	325.355	2.4122
AT1G02520.2	4344	3870.41	0	0
