target_id	length	eff_length	est_counts	tpm
AT1G01010.1	1688	1443.24	12150	235.107
AT1G01040.1	6276	5751.92	1498.6	7.27613
TCONS_00000004	6419	5836.28	339.439	1.62425
AT1G01040.2	5984	5414.37	714.482	3.68528
at1g01046	208	61.565	3.47824	1.57781
AT1G01110.2	2113	2111.04	363.937	4.81456
TCONS_00000009	2045	2063.19	189.693	2.56767
AT1G01110.1	2092	2040.89	0	0
TCONS_00000011	1269	1160.61	413.369	9.94669
TCONS_00000012	1475	1390.35	321.077	6.4493
AT1G01160.1	1045	965.491	663.628	19.1957
AT1G01180.1	1456	1406.25	16	0.31775
AT1G01210.3	806	720.468	106.46	4.12667
AT1G01210.1	624	417.312	208.54	13.9558
AT1G01220.4	3615	3392.85	55.0785	0.453361
AT1G01220.1	3596	3380.09	54.5163	0.450428
AT1G01220.6	3629	3405.89	281.184	2.30562
AT1G01220.5	3648	3418.65	283.167	2.31321
AT1G01220.7	3405	3250.14	497.545	4.27521
AT1G01220.8	3554	3285.96	95.5099	0.811734
AT1G01225.1	1077	989.423	35	0.987901
AT1G01230.1	876	744.128	1422	53.3678
AT1G01240.4	1608	1245.66	44.3657	0.994662
AT1G01240.3	2122	1665.7	221.538	3.71432
AT1G01240.2	1686	1298.81	41.2212	0.886346
AT1G01240.1	1497	1150.45	687.875	16.6982
AT1G01260.3	2679	2285.54	156.997	1.91836
AT1G01260.1	2709	2308.02	810.278	9.80443
AT1G01260.2	2542	2164.18	191.725	2.47407
AT1G01290.2	1400	1037.82	440.955	11.8658
AT1G01290.1	2021	1511.71	159.045	2.93818
AT1G01300.1	2062	2555.42	2763	30.1957
AT1G01305.1	617	324.137	7	0.60311
AT1G01310.1	977	861.628	23132	749.757
AT1G01350.1	1434	1046.98	1169.25	31.1886
AT1G01355.2	792	773.477	26.6564	0.962457
AT1G01355.3	787	732.234	15.3436	0.585201
AT1G01360.1	1179	914.663	1031	31.4793
AT1G01370.2	1463	1262.72	46.4529	1.02738
AT1G01370.1	1376	1154.73	21.1443	0.511377
AT1G01370.3	1085	936.775	0	0
AT1G01370.4	1346	1128.49	16.4028	0.405928
AT1G01448.2	2274	2697.17	53.8148	0.557211
AT1G01448.1	2386	2847.25	30.9976	0.30404
AT1G01448.3	2036	2346.73	17.5951	0.20939
TCONS_00000062	2385	2806.8	263.593	2.6227
AT1G01460.1	2169	1886.64	9182.3	135.922
TCONS_00000064	2350	2029.1	99.6972	1.37216
AT1G01480.1	2002	1903.78	330.378	4.84643
AT1G01480.2	1741	1632.95	46.622	0.797346
TCONS_00000067	5602	6017.18	53.1348	0.246612
AT1G01500.1	1782	1821.32	4305.92	66.0248
AT1G01510.1	2642	2765.62	1458.58	14.7287
AT1G01520.3	1429	1167.98	17.4689	0.417691
AT1G01520.4	1426	1167.58	53.8111	1.2871
AT1G01520.2	1506	1223.37	42.9021	0.979373
AT1G01520.1	1349	1112.19	73.0154	1.83342
AT1G01520.5	1361	1109.61	25.1727	0.633559
AT1G01540.2	2158	1976.42	4978.95	70.3535
AT1G01540.1	2060	1885.69	936.052	13.863
AT1G01550.1	1572	1480.35	5717.45	107.861
AT1G01550.2	1595	1474.99	8843.55	167.442
AT1G01560.3	1688	1389.87	10.2211	0.205375
AT1G01560.2	1595	1329.15	105.85	2.22404
AT1G01560.4	1730	1416.5	5.92899	0.116894
