transcript_id	gene_id	ref_gene_id	cmp_ref	class_code
AT1G01010.1	MSTRG.1	AT1G01010	AT1G01010.1	=
AT1G03987.1	AT1G03987	AT1G03987	AT1G03987.1	=
AT1G01040.1	MSTRG.4	AT1G01040	AT1G01040.1	=
MSTRG.4.2	MSTRG.4	NA	AT1G01040.1	j
AT1G01040.2	MSTRG.4	AT1G01040	AT1G01040.2	=
at1g01046	MSTRG.4	AT1G01046	at1g01046	=
AT1G03997.1	MSTRG.7	AT1G03997	AT1G03997.1	=
AT1G01110.2	MSTRG.10	AT1G01110	AT1G01110.2	=
MSTRG.10.2	MSTRG.10	NA	AT1G01110.2	j
AT1G01110.1	MSTRG.10	AT1G01110	AT1G01110.1	=
MSTRG.10.4	MSTRG.10	NA	AT1G01110.2	j
MSTRG.13.1	MSTRG.13	NA	AT1G01160.2	m
AT1G01160.1	MSTRG.13	AT1G01160	AT1G01160.1	=
AT1G01160.2	MSTRG.13	AT1G01160	AT1G01160.2	=
AT1G04013.1	MSTRG.16	AT1G04013	AT1G04013.1	=
AT1G01180.1	AT1G01180	AT1G01180	AT1G01180.1	=
AT1G01210.2	MSTRG.18	AT1G01210	AT1G01210.2	=
AT1G01210.3	MSTRG.18	AT1G01210	AT1G01210.3	=
AT1G01210.1	MSTRG.18	AT1G01210	AT1G01210.1	=
AT1G01220.3	MSTRG.20	AT1G01220	AT1G01220.3	=
AT1G01220.4	MSTRG.20	AT1G01220	AT1G01220.4	=
AT1G01220.2	MSTRG.20	AT1G01220	AT1G01220.2	=
AT1G01220.1	MSTRG.20	AT1G01220	AT1G01220.1	=
AT1G01220.6	MSTRG.20	AT1G01220	AT1G01220.6	=
AT1G01220.5	MSTRG.20	AT1G01220	AT1G01220.5	=
MSTRG.20.7	MSTRG.20	NA	AT1G01220.4	m
AT1G01220.7	MSTRG.20	AT1G01220	AT1G01220.7	=
AT1G01220.8	MSTRG.20	AT1G01220	AT1G01220.8	=
AT1G01225.1	MSTRG.22	AT1G01225	AT1G01225.1	=
AT1G01230.1	MSTRG.23	AT1G01230	AT1G01230.1	=
AT1G01240.4	MSTRG.24	AT1G01240	AT1G01240.4	=
AT1G01240.3	MSTRG.24	AT1G01240	AT1G01240.3	=
AT1G01240.2	MSTRG.24	AT1G01240	AT1G01240.2	=
AT1G01240.1	MSTRG.24	AT1G01240	AT1G01240.1	=
AT1G01240.5	MSTRG.24	AT1G01240	AT1G01240.5	=
AT1G01260.3	MSTRG.26	AT1G01260	AT1G01260.3	=
AT1G01260.1	MSTRG.26	AT1G01260	AT1G01260.1	=
AT1G01260.2	MSTRG.26	AT1G01260	AT1G01260.2	=
AT1G01280.1	AT1G01280	AT1G01280	AT1G01280.1	=
AT1G01290.2	MSTRG.27	AT1G01290	AT1G01290.2	=
AT1G01290.1	MSTRG.27	AT1G01290	AT1G01290.1	=
AT1G01300.1	MSTRG.28	AT1G01300	AT1G01300.1	=
AT1G01305.1	MSTRG.29	AT1G01305	AT1G01305.1	=
AT1G01310.1	MSTRG.30	AT1G01310	AT1G01310.1	=
AT1G01335.1	AT1G01335	AT1G01335	AT1G01335.1	=
AT1G01350.1	MSTRG.33	AT1G01350	AT1G01350.1	=
AT1G01355.2	MSTRG.34	AT1G01355	AT1G01355.2	=
AT1G01355.3	MSTRG.34	AT1G01355	AT1G01355.3	=
AT1G01355.1	MSTRG.34	AT1G01355	AT1G01355.1	=
AT1G01360.1	MSTRG.35	AT1G01360	AT1G01360.1	=
AT1G01370.2	MSTRG.36	AT1G01370	AT1G01370.2	=
AT1G01370.1	MSTRG.36	AT1G01370	AT1G01370.1	=
AT1G01370.3	MSTRG.36	AT1G01370	AT1G01370.3	=
AT1G01370.4	MSTRG.36	AT1G01370	AT1G01370.4	=
AT1G01380.2	AT1G01380	AT1G01380	AT1G01380.2	=
AT1G01380.1	AT1G01380	AT1G01380	AT1G01380.1	=
AT1G01380.3	AT1G01380	AT1G01380	AT1G01380.3	=
AT1G01410.1	AT1G01410	AT1G01410	AT1G01410.1	=
AT1G01448.2	MSTRG.39	AT1G01448	AT1G01448.2	=
AT1G01448.1	MSTRG.39	AT1G01448	AT1G01448.1	=
AT1G01448.3	MSTRG.39	AT1G01448	AT1G01448.3	=
MSTRG.39.4	MSTRG.39	NA	AT1G01448.2	j
AT1G01460.1	MSTRG.41	AT1G01460	AT1G01460.1	=
MSTRG.41.1	MSTRG.41	NA	AT1G01460.1	k
AT1G01480.1	MSTRG.43	AT1G01480	AT1G01480.1	=
AT1G01480.2	MSTRG.43	AT1G01480	AT1G01480.2	=
MSTRG.45.1	MSTRG.45	NA	AT1G01520.1	m
AT1G01500.1	MSTRG.45	AT1G01500	AT1G01500.1	=
AT1G01510.1	MSTRG.45	AT1G01510	AT1G01510.1	=
AT1G01520.3	MSTRG.45	AT1G01520	AT1G01520.3	=
AT1G01520.4	MSTRG.45	AT1G01520	AT1G01520.4	=
AT1G01520.2	MSTRG.45	AT1G01520	AT1G01520.2	=
AT1G01520.1	MSTRG.45	AT1G01520	AT1G01520.1	=
AT1G01520.5	MSTRG.45	AT1G01520	AT1G01520.5	=
AT1G01540.2	MSTRG.46	AT1G01540	AT1G01540.2	=
AT1G01540.1	MSTRG.46	AT1G01540	AT1G01540.1	=
AT1G01550.1	MSTRG.47	AT1G01550	AT1G01550.1	=
AT1G01550.2	MSTRG.47	AT1G01550	AT1G01550.2	=
AT1G01560.3	MSTRG.48	AT1G01560	AT1G01560.3	=
AT1G01560.2	MSTRG.48	AT1G01560	AT1G01560.2	=
AT1G01560.4	MSTRG.48	AT1G01560	AT1G01560.4	=
AT1G01560.1	MSTRG.48	AT1G01560	AT1G01560.1	=
AT1G01570.2	MSTRG.49	AT1G01570	AT1G01570.2	=
AT1G01570.1	MSTRG.49	AT1G01570	AT1G01570.2	=
AT1G01580.2	AT1G01580	AT1G01580	AT1G01580.2	=
