target_id	length	eff_length	est_counts	tpm
AT1G01010.1	1688	1445.95	12085	236.048
AT1G01040.1	6276	5716.5	1042.67	5.15138
TCONS_00000004	6419	5803.63	345.022	1.67901
AT1G01040.2	5984	5381.66	1330.31	6.98141
at1g01046	208	60.1871	0	0
AT1G01110.2	2113	2128.78	377.687	5.01081
TCONS_00000009	2045	2080.36	206.396	2.80201
AT1G01110.1	2092	2095.76	42.678	0.575135
TCONS_00000011	1269	1168.25	603.24	14.5835
TCONS_00000012	1475	1412.31	344.845	6.89605
AT1G01160.1	1045	984.746	671.155	19.2489
AT1G01180.1	1456	1386.81	9	0.183287
AT1G01210.3	806	719.752	106.057	4.16165
AT1G01210.1	624	414.546	279.655	19.0527
AT1G01220.4	3615	3390.72	165.435	1.37798
AT1G01220.1	3596	3378.29	240.98	2.01461
AT1G01220.6	3629	3401.36	190.104	1.5785
AT1G01220.5	3648	3413.8	130.807	1.08218
AT1G01220.7	3405	3252.17	278.054	2.4147
AT1G01220.8	3554	3277.18	200.62	1.72895
AT1G01225.1	1077	994.362	34	0.965698
AT1G01230.1	876	749.697	1686	63.5154
AT1G01240.4	1608	1246.02	0	0
AT1G01240.3	2122	1662.7	213.59	3.62806
AT1G01240.2	1686	1295.57	42.03	0.916231
AT1G01240.1	1497	1153.02	729.38	17.8658
AT1G01260.3	2679	2270.22	242.356	3.01505
AT1G01260.1	2709	2292.76	805.628	9.92394
AT1G01260.2	2542	2151.94	113.015	1.48325
AT1G01290.2	1400	1030.74	514.675	14.1023
AT1G01290.1	2021	1503.49	305.325	5.73545
AT1G01300.1	2062	2563.44	2061	22.7071
AT1G01305.1	617	318.815	4	0.354347
AT1G01310.1	977	858.291	19560	643.638
AT1G01350.1	1434	1044.73	1348.86	36.4647
AT1G01355.2	792	786.433	12.5254	0.449818
AT1G01355.3	787	737.635	19.4746	0.745649
AT1G01360.1	1179	912.886	1338	41.3949
AT1G01370.2	1463	1270.62	50.7337	1.12769
AT1G01370.1	1376	1145.32	0	0
AT1G01370.3	1085	945.941	0	0
AT1G01370.4	1346	1136.05	17.2663	0.429248
AT1G01448.2	2274	2760.66	81.2645	0.831373
AT1G01448.1	2386	2915.82	26.7549	0.259149
AT1G01448.3	2036	2394.58	4.48816	0.0529355
TCONS_00000062	2385	2860.1	216.492	2.13781
AT1G01460.1	2169	1901.27	6791.73	100.889
TCONS_00000064	2350	2044.04	57.2679	0.791279
AT1G01480.1	2002	1899.52	188.18	2.79792
AT1G01480.2	1741	1626.98	34.8199	0.604439
TCONS_00000067	5602	6048.65	32.9828	0.154006
AT1G01500.1	1782	1818.29	3505.09	54.4432
AT1G01510.1	2642	2783.14	1420.82	14.4182
AT1G01520.3	1429	1178.63	103.462	2.47918
AT1G01520.4	1426	1179.6	50.4779	1.20857
AT1G01520.2	1506	1233.23	135.678	3.10723
AT1G01520.1	1349	1125.01	201.431	5.05683
AT1G01520.5	1361	1121.2	83.0598	2.09225
AT1G01540.2	2158	1945.69	4904.58	71.1927
AT1G01540.1	2060	1851.8	977.423	14.9072
AT1G01550.1	1572	1491.41	7696.81	145.754
AT1G01550.2	1595	1486.42	6664.19	126.623
AT1G01560.3	1688	1389.57	8.87481	0.180379
AT1G01560.2	1595	1331.06	36.4565	0.773541
AT1G01560.4	1730	1418.43	6.6687	0.132782
AT1G01570.2	1885	1965.92	2239.75	32.1766
AT1G01570.1	1644	1670.12	1023.25	17.3038
AT1G01580.1	2635	2688.53	4	0.0420196
AT1G01590.1	2646	2599.8	88	0.955983
AT1G01600.1	2323	2439.06	1625.05	18.817
AT1G01630.1	1479	1283.38	2388	52.5515
AT1G01690.2	1867	1558.2	95.4375	1.72982
AT1G01690.1	1830	1527.38	0	0
TCONS_00000092	1812	1518.17	52.8658	0.983473
AT1G01690.3	1767	1469.18	85.6968	1.64739
AT1G01695.1	1658	1256.16	55	1.23659
AT1G04033.1	363	224.234	1	0.125952
TCONS_00000096	2959	3064.28	120.781	1.11321
TCONS_00000097	2522	2524.68	204.563	2.28838
TCONS_00000098	2702	2693.59	33.9329	0.355793
TCONS_00000099	3361	3232.44	292.323	2.55411
AT1G01710.1	1709	1645.62	1817.05	31.1848
AT1G01720.1	1653	1839.55	6428	98.6894
AT1G04047.1	451	276.293	5	0.511101
AT1G01730.1	1780	1748.98	993.455	16.0424
TCONS_00000106	1419	1216.23	48.5454	1.1273
AT1G01750.1	947	775.778	124.285	4.5247
AT1G01750.2	905	642.086	134.715	5.92556
TCONS_00000110	3194	3170.18	955.378	8.51134
AT1G01780.1	939	813.305	5356.14	185.997
AT1G01790.1	4261	4265.96	0.0649096	0.000429734
TCONS_00000114	4232	4226.57	1920.97	12.8363
TCONS_00000117	4291	4260.7	714.039	4.73313
TCONS_00000116	4247	4232.95	779.482	5.2008
AT1G01790.2	4237	4252.46	597.445	3.96793
AT1G01800.1	1236	1070.44	1974	52.0825
AT1G01810.1	653	391.249	24	1.73247
AT1G01840.1	822	760.619	17	0.631232
AT1G01900.1	2607	3025.42	2034	18.9877
AT1G01920.3	2197	2241.41	348.022	4.38524
AT1G01920.2	2025	2069.9	230.593	3.14632
AT1G01920.4	1914	1955.19	258.696	3.73688
AT1G01920.5	1970	1979.56	182.827	2.60842
AT1G01920.1	1896	1901.56	119.861	1.78023
AT1G01940.1	877	692.483	268	10.9303
AT1G01950.1	3058	2691.51	1001.41	10.508
AT1G01950.4	3137	2755.35	0	0
TCONS_00000134	3028	2664.33	413.784	4.38624
AT1G01950.3	3058	2711.51	14.811	0.15427
AT1G01970.1	1710	1479.94	419	7.9961
AT1G02000.1	2088	2448.19	18863	217.607
AT1G02010.1	2803	2697.83	65.9548	0.690462
AT1G02010.3	2707	2666.22	410.527	4.34863
AT1G02010.5	2676	2603.1	0	0
AT1G02010.4	2682	2675.82	65.1001	0.687119
AT1G02010.2	2403	2302.53	227.663	2.79251
AT1G02010.6	1970	1877.34	786.756	11.836
AT1G02065.2	2153	2770.87	35.6398	0.363266
AT1G02065.1	1712	2264.39	234.36	2.92307
AT1G02080.1	7527	7904.46	2245.73	8.02402
AT1G02080.2	7572	7996.74	3023.19	10.6773
AT1G02080.3	7561	7972.07	1554.7	5.50787
TCONS_00000151	7539	7935.44	324.376	1.15448
AT1G02100.1	1445	1233.86	337.186	7.71811
TCONS_00000154	6066	7047.13	24.1785	0.0969001
TCONS_00000157	1420	1209.38	108.524	2.53439
TCONS_00000158	1511	1277.77	190.231	4.2047
TCONS_00000159	1378	1177.25	13.2941	0.318933
TCONS_00000160	4007	4882.56	307.365	1.77793
AT1G02100.3	1354	1141.82	531.649	13.1503
TCONS_00000162	1408	1195.88	46.0217	1.08688
AT1G02110.1	2474	3412.21	83.4889	0.691034
AT1G02120.3	2145	1936.41	32.5154	0.474241
AT1G02120.2	2251	2011.14	339.284	4.76464
AT1G02120.1	2150	1943.89	2093.53	30.4168
TCONS_00000168	5859	6759.61	144.123	0.602171
TCONS_00000169	5999	6874.77	195.77	0.804258
AT1G02145.4	1726	1635.28	124.345	2.14754
AT1G02145.3	1657	1554.81	831.83	15.11
AT1G02145.1	1645	1535.92	31.1853	0.573443
TCONS_00000175	5903	6785.03	235.925	0.982042
AT1G02150.1	2042	2217.97	1177.35	14.9919
AT1G02160.1	555	354.723	602.228	47.9489
AT1G02160.2	633	419.085	147.583	9.94584
AT1G02170.1	1451	1839.86	1564.4	24.0143
AT1G02190.1	2195	3067.31	288	2.65181
AT1G02205.2	2705	3176.07	20.2389	0.179971
AT1G02205.4	2504	2905.15	9146.02	88.914
AT1G02205.3	2388	2786.39	1702.96	17.2611
AT1G02205.5	3118	3391.74	607.113	5.05538
AT1G02205.1	2499	2868.48	5112.67	50.3388
AT1G04093.1	499	365.65	2	0.15448
TCONS_00000189	1456	1164.17	59.7296	1.44904
TCONS_00000188	1596	1285.14	305.322	6.7099
AT1G02305.1	1407	1132.79	6023.95	150.189
AT1G04103.1	862	686.416	0	0
TCONS_00000195	1380	1093.16	72	1.86019
AT1G02350.1	1296	1120.42	0	0
AT1G02370.1	1986	1653.48	267	4.56057
AT1G02380.1	1317	1040.92	227	6.15906
AT1G02390.1	2074	2110.5	115	1.53893
TCONS_00000200	2923	2343.81	2935.45	35.372
AT1G02400.1	1414	1210.02	15044.4	351.149
AT1G02400.2	1496	1250.53	1028.12	23.2196
AT1G02410.1	1294	1035.28	1326.27	36.1812
AT1G02410.2	1456	1183.26	4.72845	0.112861
AT1G02420.1	1520	1080.96	106	2.76951
AT1G04123.1	304	137.321	2	0.41134
AT1G02490.1	298	132.025	1	0.213919
AT1G02500.1	1748	1823.01	12371.8	191.668
AT1G02500.2	1588	1640.1	6829.43	117.604
TCONS_00000212	4253	3846.44	44.1473	0.324155
AT1G02520.1	4310	3780.53	999.308	7.46542
AT1G02520.2	4344	3825.68	0	0
AT1G02520.3	4208	3694.35	456.755	3.49183
AT1G02530.2	4221	3689.37	0	0
AT1G02530.1	4114	3621.86	137.789	1.07446
AT1G02550.1	729	553.416	0	0
AT1G02560.1	1479	1426.61	4213	83.4052
AT1G02600.1	72	13.4474	0.666667	1.40016
AT1G02640.1	2773	2889.81	240	2.34557
AT1G02650.1	1824	1872.97	10	0.150792
AT1G02670.1	2394	2234.04	43.6621	0.551978
AT1G02670.3	2601	2384.88	37.4138	0.443071
AT1G02670.2	2683	2448.95	40.2141	0.463772
AT1G02670.6	2362	2148.88	144.322	1.89682
AT1G02670.5	2444	2212.96	146.388	1.86827
AT1G02680.1	907	678.626	487	20.2677
TCONS_00000238	560	236.839	18	2.14648
AT1G02690.1	2171	1995.91	174	2.46216
AT1G02690.2	2048	1886	0	0
AT1G02700.1	1356	1258.59	4	0.0897601
AT1G02705.1	426	607.611	6	0.27889
AT1G02720.1	1947	2134.21	1046.92	13.8543
AT1G02720.2	2439	2510.21	56.0802	0.630967
AT1G02750.1	1103	821.726	653.194	22.4503
TCONS_00000246	1188	893.36	69.8057	2.20685
AT1G02810.1	2132	2065.13	71	0.970999
AT1G02816.1	1602	1189.45	1224	29.0631
TCONS_00000252	1588	1605.69	23.042	0.405291
AT1G02840.1	1517	1502.23	1558.37	29.2981
AT1G02840.3	1368	1245.81	109.121	2.47378
TCONS_00000257	1848	1734.62	1079.77	17.5805
AT1G02840.5	1922	1789.15	542.266	8.55997
AT1G02840.2	1729	1666.27	141.441	2.39739
AT1G02850.3	2193	2031.88	39.3816	0.547396
AT1G02850.5	2093	1911.61	16.2581	0.240203
AT1G02850.2	2024	1794.6	15.2372	0.239797
AT1G02850.1	1943	1704.07	129.541	2.14697
AT1G02850.4	1965	1739.72	25.5825	0.415308
AT1G02860.1	1517	1175.8	131.05	3.14783
TCONS_00000268	759	373.489	59.8891	4.52874
AT1G02970.1	1897	1682.74	31	0.520299
AT1G02980.1	2488	2129.44	90	1.19367
AT1G03010.1	2511	2214.09	6.13459	0.0782524
AT1G03010.3	2195	1853.17	13.8654	0.211312
AT1G03030.1	1523	1340.31	720.983	15.1925
AT1G03030.2	1525	1346.88	200.017	4.19416
AT1G03050.1	2222	1954.28	33817	488.714
AT1G03070.3	1248	1280.04	25.6197	0.565272
AT1G03070.2	1165	1154.73	37.0981	0.907357
AT1G03070.1	1132	1100.06	330.282	8.4796
AT1G03090.2	2821	2822.09	502.167	5.02556
TCONS_00000284	2759	2739.56	644.027	6.63942
AT1G03090.1	2627	2591.01	279.666	3.04844
TCONS_00000286	2729	2707.77	24.1399	0.251785
AT1G03110.1	1578	1373.8	532.833	10.954
TCONS_00000290	1561	1353.81	59.1671	1.23432
AT1G03120.1	629	511.287	43.6691	2.41222
AT1G03120.2	648	514.354	14.3309	0.786896
AT1G03150.1	809	519.029	648	35.2607
TCONS_00000294	3880	3755.91	42.7138	0.321189
TCONS_00000297	3131	2994.1	235.614	2.22251
AT1G03160.3	3046	2898.42	97.001	0.945195
AT1G03160.1	3081	2941.03	621.804	5.97119
TCONS_00000299	3689	3457.63	79.3485	0.648138
AT1G03160.2	3125	2964.17	35.8803	0.34187
TCONS_00000302	3862	3606.16	51.6381	0.40442
AT1G03170.1	2309	1821.02	2549	39.5333
AT1G03180.3	1577	1307.98	22.4501	0.484758
AT1G03180.1	1166	959.001	138.671	4.08388
AT1G03180.2	1567	1297.99	23.28	0.506545
AT1G03180.4	1154	958.359	66.2597	1.95267
AT1G03180.5	1062	838.287	85.3394	2.87517
TCONS_00000311	2640	2452.27	255.298	2.94026
AT1G03190.1	2613	2433	414.702	4.81394
TCONS_00000315	1493	1270.08	236.073	5.24955
AT1G03200.1	665	490.825	103.017	5.92775
AT1G03210.2	1124	964.321	228.335	6.68741
AT1G03210.1	1040	884.95	723.993	23.1059
AT1G03220.1	1891	2125.35	294.592	3.91469
AT1G03230.1	1870	2125.2	203.408	2.70319
AT1G03270.1	1765	1546	198	3.61713
AT1G03280.1	1966	1488.93	1771.41	33.601
AT1G03280.2	2312	1792.04	20.5938	0.324561
AT1G03280.3	1948	1459.46	47.0103	0.909723
TCONS_00000325	2341	1824.24	44.9867	0.696481
AT1G03290.2	4542	4509.58	1560.98	9.77617
AT1G03290.3	4846	4662.2	0	0
TCONS_00000328	4522	4484.27	276.777	1.7432
AT1G03290.4	4443	4435.43	142.223	0.905612
TCONS_00000332	4368	4397.49	51.1205	0.32832
TCONS_00000331	4538	4498.24	565.056	3.54778
TCONS_00000336	4522	4491.88	0.00661859	4.16145e-05
AT1G03290.6	4351	4340.91	174.839	1.13754
AT1G03290.5	4417	4377.05	46.4066	0.299437
AT1G03290.1	4386	4395.4	377.038	2.42267
AT1G03310.2	3076	2801.15	516.773	5.21039
AT1G03310.1	3053	2777.71	307.227	3.12377
AT1G03320.1	701	525.416	0	0
AT1G03340.1	1507	1331.42	0	0
AT1G03360.1	1325	1061.23	387	10.2993
AT1G03365.1	2892	2548.51	835.67	9.26097
AT1G03365.2	3287	2775.61	16.33	0.166163
AT1G03370.2	4193	4102.32	225.241	1.55069
AT1G03370.1	3896	3851.93	2048.76	15.0217
AT1G03380.1	4183	4380.74	1057	6.81451
AT1G04183.1	2007	2298.43	698	8.57691
TCONS_00000351	1257	983.318	7.87646	0.226227
TCONS_00000352	1303	1016	298.004	8.28394
AT1G03430.2	1383	1086.12	306.379	7.96692
