t_id_prev	g_id_prev	t_id_new	g_id_new	exon_count	length	class_code
AT1G01010.1	MSTRG.1	AT1G01010.1	AT1G01010	6	1688	=
AT1G03987.1	AT1G03987	AT1G03987.1	AT1G03987	1	272	=
AT1G01040.1	MSTRG.4	AT1G01040.1	AT1G01040	20	6276	=
MSTRG.4.2	MSTRG.4	TCONS_00000004	XLOC_000003	20	6419	j
AT1G01040.2	MSTRG.4	AT1G01040.2	AT1G01040	20	5984	=
at1g01046	MSTRG.4	at1g01046	AT1G01046	1	208	=
AT1G03997.1	MSTRG.7	AT1G03997.1	AT1G03997	1	283	=
AT1G01110.2	MSTRG.10	AT1G01110.2	AT1G01110	5	2113	=
MSTRG.10.2	MSTRG.10	TCONS_00000009	XLOC_000005	5	2045	j
AT1G01110.1	MSTRG.10	AT1G01110.1	AT1G01110	4	2092	=
MSTRG.10.4	MSTRG.10	TCONS_00000011	XLOC_000005	3	1269	j
MSTRG.13.1	MSTRG.13	TCONS_00000012	XLOC_000006	4	1475	m
AT1G01160.1	MSTRG.13	AT1G01160.1	AT1G01160	5	1045	=
AT1G01160.2	MSTRG.13	AT1G01160.2	AT1G01160	6	1129	=
AT1G04013.1	MSTRG.16	AT1G04013.1	AT1G04013	1	249	=
AT1G01180.1	AT1G01180	AT1G01180.1	AT1G01180	1	1456	=
AT1G01210.2	MSTRG.18	AT1G01210.2	AT1G01210	4	669	=
AT1G01210.3	MSTRG.18	AT1G01210.3	AT1G01210	4	806	=
AT1G01210.1	MSTRG.18	AT1G01210.1	AT1G01210	3	624	=
AT1G01220.3	MSTRG.20	AT1G01220.3	AT1G01220	7	3795	=
AT1G01220.4	MSTRG.20	AT1G01220.4	AT1G01220	8	3615	=
AT1G01220.2	MSTRG.20	AT1G01220.2	AT1G01220	6	3862	=
AT1G01220.1	MSTRG.20	AT1G01220.1	AT1G01220	8	3596	=
AT1G01220.6	MSTRG.20	AT1G01220.6	AT1G01220	7	3629	=
AT1G01220.5	MSTRG.20	AT1G01220.5	AT1G01220	7	3648	=
MSTRG.20.7	MSTRG.20	TCONS_00000026	XLOC_000010	7	3665	m
AT1G01220.7	MSTRG.20	AT1G01220.7	AT1G01220	7	3405	=
AT1G01220.8	MSTRG.20	AT1G01220.8	AT1G01220	6	3554	=
AT1G01225.1	MSTRG.22	AT1G01225.1	AT1G01225	2	1077	=
AT1G01230.1	MSTRG.23	AT1G01230.1	AT1G01230	3	876	=
AT1G01240.4	MSTRG.24	AT1G01240.4	AT1G01240	3	1608	=
AT1G01240.3	MSTRG.24	AT1G01240.3	AT1G01240	1	2122	=
AT1G01240.2	MSTRG.24	AT1G01240.2	AT1G01240	2	1686	=
AT1G01240.1	MSTRG.24	AT1G01240.1	AT1G01240	2	1497	=
AT1G01240.5	MSTRG.24	AT1G01240.5	AT1G01240	2	2037	=
AT1G01260.3	MSTRG.26	AT1G01260.3	AT1G01260	2	2679	=
AT1G01260.1	MSTRG.26	AT1G01260.1	AT1G01260	1	2709	=
AT1G01260.2	MSTRG.26	AT1G01260.2	AT1G01260	2	2542	=
AT1G01280.1	AT1G01280	AT1G01280.1	AT1G01280	2	1602	=
AT1G01290.2	MSTRG.27	AT1G01290.2	AT1G01290	3	1400	=
AT1G01290.1	MSTRG.27	AT1G01290.1	AT1G01290	2	2021	=
AT1G01300.1	MSTRG.28	AT1G01300.1	AT1G01300	1	2062	=
AT1G01305.1	MSTRG.29	AT1G01305.1	AT1G01305	1	617	=
AT1G01310.1	MSTRG.30	AT1G01310.1	AT1G01310	1	977	=
AT1G01335.1	AT1G01335	AT1G01335.1	AT1G01335	1	123	=
AT1G01350.1	MSTRG.33	AT1G01350.1	AT1G01350	4	1434	=
AT1G01355.2	MSTRG.34	AT1G01355.2	AT1G01355	5	792	=
AT1G01355.3	MSTRG.34	AT1G01355.3	AT1G01355	5	787	=
AT1G01355.1	MSTRG.34	AT1G01355.1	AT1G01355	5	799	=
AT1G01360.1	MSTRG.35	AT1G01360.1	AT1G01360	3	1179	=
AT1G01370.2	MSTRG.36	AT1G01370.2	AT1G01370	9	1463	=
AT1G01370.1	MSTRG.36	AT1G01370.1	AT1G01370	10	1376	=
AT1G01370.3	MSTRG.36	AT1G01370.3	AT1G01370	11	1085	=
AT1G01370.4	MSTRG.36	AT1G01370.4	AT1G01370	10	1346	=
AT1G01380.2	AT1G01380	AT1G01380.2	AT1G01380	2	854	=
AT1G01380.1	AT1G01380	AT1G01380.1	AT1G01380	3	750	=
AT1G01380.3	AT1G01380	AT1G01380.3	AT1G01380	3	557	=
AT1G01410.1	AT1G01410	AT1G01410.1	AT1G01410	1	1086	=
AT1G01448.2	MSTRG.39	AT1G01448.2	AT1G01448	6	2274	=
AT1G01448.1	MSTRG.39	AT1G01448.1	AT1G01448	5	2386	=
AT1G01448.3	MSTRG.39	AT1G01448.3	AT1G01448	6	2036	=
MSTRG.39.4	MSTRG.39	TCONS_00000062	XLOC_000027	5	2385	j
AT1G01460.1	MSTRG.41	AT1G01460.1	AT1G01460	10	2169	=
MSTRG.41.1	MSTRG.41	TCONS_00000064	XLOC_000028	11	2350	k
AT1G01480.1	MSTRG.43	AT1G01480.1	AT1G01480	4	2002	=
AT1G01480.2	MSTRG.43	AT1G01480.2	AT1G01480	3	1741	=
MSTRG.45.1	MSTRG.45	TCONS_00000067	XLOC_000030	16	5602	m
AT1G01500.1	MSTRG.45	AT1G01500.1	AT1G01500	2	1782	=
AT1G01510.1	MSTRG.45	AT1G01510.1	AT1G01510	7	2642	=
AT1G01520.3	MSTRG.45	AT1G01520.3	AT1G01520	7	1429	=
AT1G01520.4	MSTRG.45	AT1G01520.4	AT1G01520	7	1426	=
AT1G01520.2	MSTRG.45	AT1G01520.2	AT1G01520	6	1506	=
AT1G01520.1	MSTRG.45	AT1G01520.1	AT1G01520	8	1349	=
AT1G01520.5	MSTRG.45	AT1G01520.5	AT1G01520	7	1361	=
AT1G01540.2	MSTRG.46	AT1G01540.2	AT1G01540	7	2158	=
AT1G01540.1	MSTRG.46	AT1G01540.1	AT1G01540	6	2060	=
AT1G01550.1	MSTRG.47	AT1G01550.1	AT1G01550	3	1572	=
AT1G01550.2	MSTRG.47	AT1G01550.2	AT1G01550	2	1595	=
AT1G01560.3	MSTRG.48	AT1G01560.3	AT1G01560	5	1688	=
AT1G01560.2	MSTRG.48	AT1G01560.2	AT1G01560	6	1595	=
AT1G01560.4	MSTRG.48	AT1G01560.4	AT1G01560	5	1730	=
AT1G01560.1	MSTRG.48	AT1G01560.1	AT1G01560	4	1815	=
AT1G01570.2	MSTRG.49	AT1G01570.2	AT1G01570	3	1885	=
AT1G01570.1	MSTRG.49	AT1G01570.1	AT1G01570	3	1644	=
AT1G01580.2	AT1G01580	AT1G01580.2	AT1G01580	8	2850	=
AT1G01580.1	AT1G01580	AT1G01580.1	AT1G01580	8	2635	=
AT1G01590.1	MSTRG.50	AT1G01590.1	AT1G01590	8	2646	=
AT1G01600.1	MSTRG.51	AT1G01600.1	AT1G01600	2	2323	=
AT1G01630.1	MSTRG.54	AT1G01630.1	AT1G01630	5	1479	=
AT1G01690.2	MSTRG.58	AT1G01690.2	AT1G01690	14	1867	=
AT1G01690.1	MSTRG.58	AT1G01690.1	AT1G01690	14	1830	=
MSTRG.58.3	MSTRG.58	TCONS_00000092	XLOC_000039	14	1812	j
AT1G01690.3	MSTRG.58	AT1G01690.3	AT1G01690	14	1767	=
AT1G01695.1	MSTRG.59	AT1G01695.1	AT1G01695	4	1658	=
AT1G04033.1	AT1G04033	AT1G04033.1	AT1G04033	1	363	=
MSTRG.61.1	MSTRG.61	TCONS_00000096	XLOC_000042	20	2959	j
MSTRG.61.2	MSTRG.61	TCONS_00000097	XLOC_000042	21	2522	j
MSTRG.61.3	MSTRG.61	TCONS_00000098	XLOC_000042	19	2702	k
MSTRG.61.4	MSTRG.61	TCONS_00000099	XLOC_000042	17	3361	j
AT1G01710.1	MSTRG.61	AT1G01710.1	AT1G01710	17	1709	=
AT1G01715.1	MSTRG.61	AT1G01715.1	AT1G01715	3	981	=
AT1G01715.2	MSTRG.61	AT1G01715.2	AT1G01715	2	668	=
AT1G01720.1	MSTRG.63	AT1G01720.1	AT1G01720	3	1653	=
AT1G04047.1	MSTRG.66	AT1G04047.1	AT1G04047	1	451	=
AT1G01730.1	MSTRG.67	AT1G01730.1	AT1G01730	3	1780	=
MSTRG.67.2	MSTRG.67	TCONS_00000106	XLOC_000045	2	1419	m
AT1G01750.1	MSTRG.69	AT1G01750.1	AT1G01750	3	947	=
AT1G01750.2	MSTRG.69	AT1G01750.2	AT1G01750	2	905	=
AT1G04057.1	MSTRG.71	AT1G04057.1	AT1G04057	1	187	=
MSTRG.72.1	MSTRG.72	TCONS_00000110	XLOC_000048	20	3194	k
AT1G01770.1	MSTRG.72	AT1G01770.1	AT1G01770	16	2539	=
AT1G01780.1	MSTRG.72	AT1G01780.1	AT1G01780	5	939	=
AT1G01790.1	MSTRG.73	AT1G01790.1	AT1G01790	21	4261	=
MSTRG.73.2	MSTRG.73	TCONS_00000114	XLOC_000049	21	4232	j
MSTRG.73.4	MSTRG.73	TCONS_00000117	XLOC_000049	21	4291	j
MSTRG.73.3	MSTRG.73	TCONS_00000116	XLOC_000049	21	4247	j
AT1G01790.2	MSTRG.73	AT1G01790.2	AT1G01790	20	4237	=
AT1G01800.1	MSTRG.74	AT1G01800.1	AT1G01800	5	1236	=
AT1G01800.2	MSTRG.74	AT1G01800.2	AT1G01800	5	1144	=
AT1G01810.1	MSTRG.75	AT1G01810.1	AT1G01810	1	653	=
AT1G01840.1	MSTRG.78	AT1G01840.1	AT1G01840	1	822	=
AT1G04073.1	MSTRG.80	AT1G04073.1	AT1G04073	1	233	=
AT1G01870.1	MSTRG.81	AT1G01870.1	AT1G01870	1	73	=
AT1G01900.1	MSTRG.82	AT1G01900.1	AT1G01900	2	2607	=
AT1G04083.1	MSTRG.85	AT1G04083.1	AT1G04083	1	275	=
AT1G01920.3	MSTRG.86	AT1G01920.3	AT1G01920	15	2197	=
AT1G01920.2	MSTRG.86	AT1G01920.2	AT1G01920	16	2025	=
AT1G01920.4	MSTRG.86	AT1G01920.4	AT1G01920	16	1914	=
AT1G01920.5	MSTRG.86	AT1G01920.5	AT1G01920	15	1970	=
AT1G01920.1	MSTRG.86	AT1G01920.1	AT1G01920	16	1896	=
