target_id	length	eff_length	est_counts	tpm
AT1G01010.1	1688	1429.66	5464	127.156
AT1G01040.1	6276	5666.45	1685.77	9.89794
TCONS_00000004	6419	5755.83	325.985	1.88429
AT1G01040.2	5984	5326.95	431.824	2.69704
at1g01046	208	58.0188	2.42458	1.39036
AT1G01110.2	2113	2112.71	402.524	6.33886
TCONS_00000009	2045	2065.7	164.181	2.64431
AT1G01110.1	2092	2081.19	24.6123	0.39346
TCONS_00000011	1269	1147.35	429.683	12.4598
TCONS_00000012	1475	1395.93	288.102	6.86661
AT1G01160.1	1045	965.983	608.898	20.9717
AT1G01180.1	1456	1379.5	11	0.265295
AT1G01210.3	806	706.254	84.1014	3.96188
AT1G01210.1	624	403.266	192.899	15.9146
AT1G01220.4	3615	3384.08	4.77457	0.046941
AT1G01220.1	3596	3371.96	93.1814	0.919402
AT1G01220.6	3629	3394.22	270.008	2.64665
AT1G01220.5	3648	3406.34	322.323	3.1482
AT1G01220.7	3405	3236.86	428.09	4.40017
AT1G01220.8	3554	3257.94	76.6231	0.782483
AT1G01225.1	1077	981.135	32	1.08513
AT1G01230.1	876	749.495	1074	47.6754
AT1G01240.4	1608	1234.75	0	0
AT1G01240.3	2122	1655.06	169.263	3.40258
AT1G01240.2	1686	1289.98	34.2185	0.882541
AT1G01240.1	1497	1145.46	453.518	13.1727
AT1G01260.3	2679	2242.66	234.626	3.48075
AT1G01260.1	2709	2266.12	760.643	11.1675
AT1G01260.2	2542	2129.4	54.7311	0.855138
AT1G01290.2	1400	1010.32	425.885	14.0246
AT1G01290.1	2021	1480.96	212.115	4.76525
AT1G01300.1	2062	2583.92	3066	39.4777
AT1G01305.1	617	301.004	1	0.110532
AT1G01310.1	977	843.809	16439	648.171
AT1G01350.1	1434	1028.81	959.927	31.0429
AT1G01355.2	792	791.283	8.4139	0.353773
AT1G01355.3	787	734.003	19.5861	0.887787
AT1G01360.1	1179	893.989	785	29.2143
AT1G01370.2	1463	1263.76	48.2076	1.26914
AT1G01370.1	1376	1152.13	22.3049	0.644106
AT1G01370.3	1085	950.898	8.04882	0.281616
AT1G01370.4	1346	1128.4	23.4387	0.691084
AT1G01448.2	2274	2769.4	53.3638	0.64109
AT1G01448.1	2386	2929.02	118.134	1.34187
AT1G01448.3	2036	2404.27	5.30238	0.0733747
TCONS_00000062	2385	2850.13	139.2	1.62493
AT1G01460.1	2169	1885.89	6339.41	111.838
TCONS_00000064	2350	2023.57	117.588	1.93332
AT1G01480.1	2002	1899.79	138.067	2.41793
AT1G01480.2	1741	1624.59	51.9331	1.06355
TCONS_00000067	5602	6034.54	32.819	0.180942
AT1G01500.1	1782	1814.32	2155.13	39.5201
AT1G01510.1	2642	2771.24	1268.93	15.2343
AT1G01520.3	1429	1162.21	3.63494	0.104057
AT1G01520.4	1426	1162.63	36.4498	1.04307
AT1G01520.2	1506	1216.25	115.934	3.17136
AT1G01520.1	1349	1108.59	160.855	4.82752
AT1G01520.5	1361	1096.07	59.2461	1.79838
AT1G01540.2	2158	1931.67	4237.61	72.9873
AT1G01540.1	2060	1832.95	952.393	17.2872
AT1G01550.1	1572	1492.8	5062.76	112.835
AT1G01550.2	1595	1483.51	11977.2	268.611
AT1G01560.3	1688	1372.98	9.05669	0.219464
AT1G01560.2	1595	1318.38	68.9433	1.73985
AT1G01560.4	1730	1385.06	0	0
AT1G01570.2	1885	1962.26	2015.95	34.1807
AT1G01570.1	1644	1661.49	471.053	9.43257
AT1G01580.1	2635	2685.94	1	0.0123869
AT1G01590.1	2646	2589.29	67	0.8609
AT1G01600.1	2323	2441.54	2735	37.2694
AT1G01630.1	1479	1273.83	1847	48.2407
AT1G01690.2	1867	1525.6	0	0
AT1G01690.1	1830	1500.11	102.497	2.27324
TCONS_00000092	1812	1485.12	67.0804	1.50277
AT1G01690.3	1767	1437.47	49.423	1.1439
AT1G01695.1	1658	1235.86	51	1.37296
AT1G04033.1	363	213.895	1	0.155546
TCONS_00000096	2959	3043.46	32.6795	0.357245
TCONS_00000097	2522	2504.83	170.969	2.2709
TCONS_00000098	2702	2674.45	38.2738	0.47613
TCONS_00000099	3361	3204.76	313.399	3.25357
AT1G01710.1	1709	1632.39	1395.68	28.4459
AT1G01720.1	1653	1834.76	3533	64.0654
AT1G04047.1	451	270.508	1	0.122992
AT1G01730.1	1780	1739.02	792.128	15.1548
TCONS_00000106	1419	1210.2	33.8716	0.931189
AT1G01750.1	947	771.318	47.2776	2.0393
AT1G01750.2	905	615.35	85.7224	4.6348
TCONS_00000110	3194	3152.28	1207.85	12.7481
AT1G01780.1	939	805.493	4769.14	196.987
AT1G01790.1	4261	4250.13	0.00833263	6.52287e-05
TCONS_00000114	4232	4208.31	1362.96	10.7754
TCONS_00000117	4291	4245.98	431.929	3.38448
TCONS_00000116	4247	4219.21	204.62	1.61353
AT1G01790.2	4237	4238.79	691.488	5.42753
AT1G01800.1	1236	1065.45	1684	52.5857
AT1G01810.1	653	372.642	28	2.49991
AT1G01840.1	822	750.205	14	0.620879
AT1G01900.1	2607	3017.65	1771	19.5258
AT1G01920.3	2197	2241.4	210.617	3.12632
AT1G01920.2	2025	2067.35	259.723	4.17981
AT1G01920.4	1914	1959.43	206.931	3.51362
AT1G01920.5	1970	1982.8	171.52	2.87802
AT1G01920.1	1896	1899.03	101.208	1.77315
AT1G01940.1	877	673.9	227	11.207
AT1G01950.1	3058	2667.63	1319.12	16.452
AT1G01950.4	3137	2764.77	16.4977	0.198529
TCONS_00000134	3028	2632.8	417.38	5.2744
AT1G01950.3	3058	2652.05	0	0
AT1G01970.1	1710	1468.07	359	8.1359
AT1G02000.1	2088	2460.1	16873	228.191
AT1G02010.1	2803	2682.71	302.594	3.75272
AT1G02010.3	2707	2659.01	286.777	3.58826
AT1G02010.5	2676	2612.96	0	0
AT1G02010.4	2682	2642.19	71.488	0.900176
AT1G02010.2	2403	2292.34	114.891	1.6675
AT1G02010.6	1970	1868.38	611.25	10.8846
AT1G02065.2	2153	2782.96	72.7216	0.869391
AT1G02065.1	1712	2259.33	244.278	3.59719
AT1G02080.1	7527	7891.68	721.691	3.04257
AT1G02080.2	7572	7972.47	6170.3	25.7497
AT1G02080.3	7561	7960.31	672.849	2.8122
TCONS_00000151	7539	7927.45	289.157	1.21355
AT1G02100.1	1445	1213.6	391.574	10.7349
TCONS_00000154	6066	7039.2	85.2017	0.402702
TCONS_00000157	1420	1195.18	69.8302	1.94388
TCONS_00000158	1511	1260.86	113.913	3.00583
TCONS_00000159	1378	1147.25	0	0
TCONS_00000160	4007	4884.33	355.737	2.42316
AT1G02100.3	1354	1130.13	352.887	10.3888
TCONS_00000162	1408	1176.1	38.895	1.10029
AT1G02110.1	2474	3426	178.009	1.72868
AT1G02120.3	2145	1896.58	126.974	2.22742
AT1G02120.2	2251	1971.97	349.901	5.90341
AT1G02120.1	2150	1904.3	1552.08	27.1166
TCONS_00000168	5859	6763.15	94.3749	0.464265
TCONS_00000169	5999	6882.02	168.746	0.815784
AT1G02145.4	1726	1638.72	134.089	2.72238
AT1G02145.3	1657	1555.34	663.071	14.1838
AT1G02145.1	1645	1536.77	14.5356	0.31469
