target_id	10_compatible1	10_compatible2	10_compatible4	10_incompatible1	10_incompatible2	10_incompatible3
AT1G01010.1	166.859	196.226	109.487	204.164	150.477	150.413
AT1G01020.1	3.07298	3.70227	4.69968	4.04632	3.85589	4.57768
AT1G01020.2	0.121179	0.342397	0	0	0	0
AT1G01020.3	0	0	0.880069	0.513503	0.533985	0.39703
AT1G01020.4	0.425369	0.998713	0	5.21425e-4	0	0.0450313
AT1G01020.5	1.86286	0.686	2.94249	1.95199	1.41236	0.757391
AT1G01020.6	0.490416	0.19544	0.246964	0.158429	0.282384	0.468126
AT1G01030.1	15.0968	31.2145	12.6176	17.6299	19.3532	20.8127
AT1G01030.2	0.657973	1.30551	0.379116	1.02607	1.0657	0.939165
AT1G01040.1	5.79799	8.07665	3.89237	9.70858	8.66032	8.2264
AT1G01040.2	5.6551	4.87934	6.07833	3.87556	3.08982	5.96
at1g01046	2.19768	0.795533	0.472497	2.91458	0.731625	2.86621
AT1G01050.1	72.9886	85.5396	78.2204	84.465	83.4538	90.7164
AT1G01050.2	2.37934	0	0.440285	0	0	1.12056
AT1G01060.1	14.5541	32.832	19.0011	5.05727	6.02571	11.313
AT1G01060.2	0.869304	1.75191	2.15603	0.37278	0.216899	0.910956
AT1G01060.3	0.069355	0.0573272	0	0	0	0
AT1G01060.4	21.7683	46.9145	15.2604	8.58126	5.42644	14.1714
AT1G01060.5	0	1.54918e-7	0	0.0793223	0	0.242901
AT1G01060.6	0.203774	0.199294	0	1.14735e-8	0	0
AT1G01060.7	2.43214	3.83163	1.18701	0.828256	0.914514	1.20572
AT1G01060.8	4.09595	5.10785	0	0.438528	1.57904	1.29261
AT1G01080.1	3.95759	5.2993	2.3756	3.22403	4.00098	4.89815
AT1G01080.2	6.41049	6.80507	8.85468	5.87345	6.43325	6.65012
AT1G01080.3	2.24494	2.16378	3.44793	1.81945	3.43337	3.03802
AT1G01090.1	130.002	176.167	140.373	157.937	157.815	186.013
AT1G01100.1	127.942	133.609	332.172	123.253	154.847	170.968
AT1G01100.2	183.671	195.385	190.038	186.687	207.965	176.256
AT1G01100.3	69.3653	64.3788	121.126	87.8796	96.1169	106.209
AT1G01100.4	1.88738	4.62012	5.33486	2.95851	3.98842	3.60707
AT1G01110.1	0	0.697319	0	0.864309	0.856912	0.817144
AT1G01110.2	3.03529	4.90155	5.51722	4.31932	5.83996	5.95721
AT1G01120.1	33.0042	37.8555	16.18	37.8667	27.9245	24.497
AT1G01140.1	16.7473	30.2658	10.5798	17.3625	22.17	21.3279
AT1G01140.2	0.784665	0	0.573962	0	0	0.257963
AT1G01150.2	0.0640137	0.0604293	0.0626792	0	0.0338553	0
AT1G01160.1	17.1956	17.5525	25.291	21.5495	21.8038	22.932
AT1G01170.1	69.916	67.4655	75.7407	63.4628	67.8796	62.6288
AT1G01170.2	2.43639	4.43906	1.86841	2.46596	3.09912	0.690495
AT1G01180.1	0.0830705	0.216765	0.0620066	0.0606057	0.197255	0.162031
AT1G01190.1	0.0816043	0.0924548	0.0959105	0.0641751	0.0869134	0.0796389
AT1G01200.1	0.960665	1.28377	0.712397	1.67625	1.17915	1.57467
AT1G01210.1	19.2255	19.7725	19.6945	16.7351	17.9343	17.9061
AT1G01210.2	0.16116	0.172697	0	0	0	0
AT1G01210.3	3.59735	3.68152	7.26764	3.88289	5.49521	4.95088
AT1G01220.1	0.112409	3.58194	0.0460325	2.77578	3.7671	2.12773
AT1G01220.4	2.28913	0.895596	0.096626600000000007	0.107655	0.362283	1.48669
AT1G01220.5	0.00344452	0.398719	5.2717	1.12741	1.41658	2.3822
AT1G01220.6	4.37377	1.58536	0.110951	3.91102	2.57217	3.39677
AT1G01220.7	2.40955	2.1245	4.39142	2.82152	2.63571	1.72675
AT1G01220.8	0.882126	0.801484	1.43054	0.913618	1.15774	1.25816
AT1G01225.1	1.25841	1.17016	1.35509	0.82702	0.80893	1.26406
AT1G01230.1	40.6373	49.0578	49.5212	55.7001	54.6441	58.099
AT1G01240.1	12.6066	13.523	17.3859	17.3163	17.7973	13.8467
AT1G01240.2	1.38852	0.377559	1.57516	0.740095	1.75466	5.22784e-10
AT1G01240.3	3.17363	2.77607	3.54029	4.08339	3.21152	2.60979
AT1G01240.4	0.547695	0.452518	0	0	0	1.17988
AT1G01250.1	16.5157	19.2429	9.80114	14.4028	16.6734	25.3587
AT1G01260.1	8.53916	10.6418	4.91739	8.83828	6.05351	9.56885
AT1G01260.2	0.851835	2.38121	3.1551	0.819787	2.69211	0.885619
AT1G01260.3	3.52494	2.95011	2.43519	2.65062	4.60943	4.13639
AT1G01280.1	0.0186568	0.105319	0.0362956	0.0543439	0.0589502	0.0900176
AT1G01290.1	3.56991	4.58936	4.79743	4.54743	3.79178	5.41185
AT1G01290.2	11.0474	13.0709	14.6079	14.3329	17.4491	17.8077
AT1G01300.1	21.5766	28.1301	29.8241	27.3652	32.9187	33.8163
AT1G01305.1	0.656311	0.3455	1.67748	0.175303	0.680421	0.261639
AT1G01310.1	891.395	676.239	705.05	654.061	627.709	545.882
AT1G01320.1	4.87363e-8	8.32917e-6	9.54938e-5	0.319125	0.359221	0.394553
AT1G01320.3	29.4903	28.2633	27.2618	22.7529	24.8156	25.0162
AT1G01340.1	0	0.27585	0.328929	0	0.38439	0
AT1G01340.2	8.34034	5.20993	5.42151	5.82543	5.27902	4.15422
AT1G01350.1	29.1952	31.5744	29.7465	35.1582	33.6187	34.8471
AT1G01355.2	0.707078	0.225236	0.341431	0.195287	0.315664	0.472179
AT1G01355.3	1.12466	0.854058	0.765675	0.934567	1.26059	1.23411
AT1G01360.1	32.4679	50.5073	28.6925	37.1843	31.9448	34.6128
AT1G01370.1	0.432057	0.155813	1.40842	0	0	0
AT1G01370.2	0.997244	0.684078	1.90182	0.969611	0.946426	0.358371
AT1G01370.4	0.451282	0.890633	0.807703	0.680374	0.475521	1.10928
AT1G01420.1	0.0551803	0.017336	0.0724726	0	0.0388473	0.0534491
AT1G01430.1	18.0614	25.9656	29.9726	38.0664	37.7471	35.0713
AT1G01440.1	3.64755	3.91122	3.59093	3.7669	4.4624	4.33419
AT1G01448.1	1.31461	1.48171	0.174985	1.7256	0.648353	1.83483
AT1G01448.2	0.218229	0.46113	0.61871	0.616737	0.890003	0.645878
AT1G01448.3	0.0466812	0.375282	0.367444	0.273254	0.269571	0.284567
AT1G01453.2	0.0511912	0.0241071	0.100612	0	0	0.0248963
AT1G01460.1	177.581	131.9	135.531	119.277	120.737	107.364
AT1G01470.1	66.6094	59.7527	24.3362	94.8656	44.7754	23.7776
AT1G01480.1	1.70422	2.64636	0	0.94449	0.305747	0.104749
AT1G01480.2	0.273184	0.0197318	0.278941	0.229876	0	0.275103
AT1G01490.1	41.3216	51.533	38.3294	53.0245	44.7269	45.7383
AT1G01490.2	3.83871	7.7588800000000004	5.34091	6.21902	7.38261	9.47786
AT1G01490.3	2.70568	3.76046	2.8271	4.03275	2.46534	3.15418
AT1G01490.4	0.318748	0.458684	0.492227	0.46895	0.17107	0.726065
AT1G01500.1	63.789	52.6149	55.6442	58.1868	51.087	48.2705
AT1G01510.1	13.5527	14.2469	15.6922	14.6856	14.985900000000001	16.645
AT1G01520.1	6.027	6.87071	2.98977	4.93451	4.95556	5.88273
AT1G01520.2	5.95585	4.40362	2.32945	3.36336	1.94123	1.46118
AT1G01520.3	5.35135	4.88526	3.73887	1.39585	0.696956	3.03718
AT1G01520.4	4.93579	2.86956	4.61798	1.59899	1.39622	2.14701
AT1G01520.5	3.8358	5.05579	4.94874	4.77696	2.3971	3.34614
AT1G01540.1	12.1268	17.6088	10.9713	16.2062	12.4847	13.559
AT1G01540.2	54.9172	57.8221	50.0483	72.8705	54.3104	59.9411
AT1G01550.1	110.238	129.937	117.088	169.564	159.572	175.381
AT1G01550.2	89.809	207.102	72.5297	100.157	84.7257	131.017
AT1G01560.2	0.506121	2.63027	0.187212	0.839077	0.27612	0.461093
AT1G01570.1	8.31572	13.2284	18.8532	8.09776	10.6107	11.0977
AT1G01570.2	23.7308	33.5104	20.1836	31.171	35.6941	37.6482
AT1G01590.1	0.665506	0.953845	0.671814	1.13943	0.897612	1.0853
AT1G01600.1	12.7663	20.818	17.9756	13.9444	23.792	39.6918
AT1G01610.1	32.5423	39.2324	30.68	44.6873	52.1051	55.0441
AT1G01620.1	249.464	259.451	214.382	295.888	190.477	138.099
AT1G01620.2	0.463596	0	0	0.210875	0.228242	0
AT1G01630.1	38.2936	44.924	33.5169	58.472	55.4403	56.3162
AT1G01640.1	0	0.647046	0.866468	1.46787	1.16286	0.661962
AT1G01650.1	34.6147	42.9858	32.7641	42.4184	38.8247	37.5512
AT1G01650.2	1.56811	1.59534	0.538762	0.769566	0.540783	0.850465
AT1G01650.3	0.879552	1.94584	0.864917	0.622824	0.542085	1.04401
AT1G01660.2	1.48535	1.34622	1.44629	1.5921400000000001	1.76442	1.87888
AT1G01670.1	1.52827	1.54962	1.73833	1.75497	1.58518	1.9557
AT1G01670.3	1.08507	0.0160939	0.794139	0.632684	0.874835	0.638888
AT1G01690.1	0.460666	1.47653	3.00844	2.49126	3.16787	0.0160447
AT1G01690.2	1.65437	0.877266	1.04526	0.0252172	0.0221782	2.8082
AT1G01690.3	1.08838	1.43932e-6	0.66732	0.746	3.74454e-4	1.41075
AT1G01695.1	1.26171	1.48101	1.48984	0.99018	1.59849	1.29694
AT1G01700.1	0.753046	0.571251	1.34208	0.391138	0.821284	0.365885
AT1G01710.1	27.8756	31.0379	30.3684	32.4482	32.0449	34.6676
AT1G01720.1	72.5778	103.689	45.3154	75.2931	52.6609	60.4663
AT1G01725.1	20.5226	21.8622	29.4933	24.4402	28.5634	30.1606
AT1G01730.1	13.9198	14.4301	16.6313	15.0036	16.1951	17.3495
AT1G01740.1	0.660483	0	0.171785	1.63709e-6	0.531159	0
AT1G01740.2	0.208905	1.93375e-7	0.507942	0.236994	8.36522e-6	0.119958
AT1G01740.3	0.0757603	0.570626	0.363484	0.58453599999999994	0.447172	0.403956
AT1G01740.4	0.23996	1.57179e-5	0.121318	0	0	0
AT1G01740.5	0	0.675563	0.627583	0.275724	0.325951	0.797494
AT1G01750.1	2.13582	4.28389	3.34526	3.04861	4.41976	4.22439
AT1G01750.2	2.46187	3.31314	3.87957	4.06478	5.34677	3.71746
AT1G01760.1	0.866974	0.0980548	0.44507	0	1.14519	0.573608
AT1G01760.2	0.233887	0.742906	0.686336	0.579958	0.471096	0.636327
AT1G01770.1	8.06168e-6	5.73544e-5	0	3.05436	7.45343e-5	1.58658
AT1G01780.1	300.701	225.744	238.398	222.185	226.999	194.904
AT1G01790.1	3.94224	5.01945	0.004408	2.2011	3.75475	0.0412832
AT1G01790.2	2.80196	3.2535	4.01319	5.0151	2.22175	5.41361
AT1G01800.1	39.9226	43.8235	47.2024	53.8928	55.4835	54.7493
AT1G01800.2	0	0.668301	0.557455	0.302915	0	0.383358
AT1G01810.1	1.61173	1.35608	2.22387	2.14772	1.43401	1.65815
AT1G01820.1	16.2214	14.7101	22.3168	21.0287	24.1401	22.471
AT1G01830.1	1.00961	0.484618	2.16503	1.88665	1.36332	1.38418
AT1G01830.2	0.476647	0.175737	0.785485	0.686355	0.414846	0.934961
