isBest	lncRNA_gene	lncRNA_transcript	partnerRNA_gene	partnerRNA_transcript	direction	type	distance	subtype	location
1	XLOC_023473	TCONS_00048029	AT4G32714	AT4G32714.1	antisense	intergenic	175	convergent	downstream
0	XLOC_023473	TCONS_00048029	AT4G32750	AT4G32750.1	sense	intergenic	9855	same_strand	downstream
0	XLOC_023473	TCONS_00048029	AT4G32720	AT4G32720.1	antisense	intergenic	1148	divergent	upstream
0	XLOC_023473	TCONS_00048029	AT4G32730	AT4G32730.4	antisense	intergenic	4299	divergent	upstream
0	XLOC_023473	TCONS_00048029	AT4G32717	AT4G32717.1	antisense	intergenic	226	divergent	upstream
0	XLOC_023473	TCONS_00048029	AT4G32730	AT4G32730.5	antisense	intergenic	4299	divergent	upstream
0	XLOC_023473	TCONS_00048029	AT4G32700	AT4G32700.2	antisense	intergenic	5818	convergent	downstream
0	XLOC_023473	TCONS_00048029	AT4G32710	AT4G32710.1	antisense	intergenic	2012	convergent	downstream
0	XLOC_023473	TCONS_00048029	AT4G32730	AT4G32730.2	antisense	intergenic	4087	divergent	upstream
0	XLOC_023473	TCONS_00048029	AT4G32720	AT4G32720.2	antisense	intergenic	1163	divergent	upstream
0	XLOC_023473	TCONS_00048029	AT4G32730	AT4G32730.3	antisense	intergenic	4087	divergent	upstream
0	XLOC_023473	TCONS_00048029	AT4G32730	AT4G32730.1	antisense	intergenic	4299	divergent	upstream
1	XLOC_012675	TCONS_00025880	AT2G40715	AT2G40715.1	sense	genic	0	containing	exonic
0	XLOC_012675	TCONS_00025880	AT2G40690	AT2G40690.1	antisense	intergenic	4393	convergent	downstream
0	XLOC_012675	TCONS_00025880	AT2G40720	AT2G40720.1	antisense	intergenic	697	divergent	upstream
0	XLOC_012675	TCONS_00025880	AT2G40711	AT2G40711.2	sense	genic	0	containing	exonic
0	XLOC_012675	TCONS_00025880	AT2G40730	AT2G40730.1	sense	intergenic	3264	same_strand	downstream
0	XLOC_012675	TCONS_00025880	AT2G09175	AT2G09175.1	sense	intergenic	1300	same_strand	downstream
0	XLOC_012675	TCONS_00025880	AT2G09165	AT2G09165.1	antisense	genic	0	containing	exonic
0	XLOC_012675	TCONS_00025880	AT2G40690	AT2G40690.2	antisense	intergenic	4469	convergent	downstream
0	XLOC_012675	TCONS_00025880	AT2G40710	AT2G40710.1	sense	genic	0	containing	exonic
0	XLOC_012675	TCONS_00025880	AT2G40670	AT2G40670.2	antisense	intergenic	9693	convergent	downstream
0	XLOC_012675	TCONS_00025880	AT2G40711	AT2G40711.1	sense	genic	0	containing	exonic
0	XLOC_012675	TCONS_00025880	AT2G40690	AT2G40690.3	antisense	intergenic	4393	convergent	downstream
0	XLOC_012675	TCONS_00025880	AT2G09160	AT2G09160.1	antisense	intergenic	144	convergent	downstream
0	XLOC_012675	TCONS_00025880	AT2G40700	AT2G40700.1	antisense	intergenic	1277	convergent	downstream
0	XLOC_012675	TCONS_00025880	AT2G40670	AT2G40670.1	antisense	intergenic	8814	convergent	downstream
0	XLOC_012675	TCONS_00025880	AT2G09170	AT2G09170.1	antisense	genic	0	containing	exonic
1	XLOC_007714	TCONS_00015798	AT1G73490	AT1G73490.1	sense	genic	0	nested	exonic
0	XLOC_007714	TCONS_00015798	AT1G73470	AT1G73470.1	antisense	intergenic	4935	convergent	downstream
0	XLOC_007714	TCONS_00015798	AT1G73480	AT1G73480.1	antisense	intergenic	420	convergent	downstream
0	XLOC_007714	TCONS_00015798	AT1G73500	AT1G73500.1	sense	intergenic	4101	same_strand	downstream
0	XLOC_007714	TCONS_00015798	AT1G73530	AT1G73530.1	sense	intergenic	8619	same_strand	downstream
0	XLOC_007714	TCONS_00015798	AT1G73490	AT1G73490.2	sense	genic	0	containing	exonic
0	XLOC_007714	TCONS_00015798	AT1G73470	AT1G73470.2	antisense	intergenic	4935	convergent	downstream
0	XLOC_007714	TCONS_00015798	AT1G73510	AT1G73510.1	sense	intergenic	7396	same_strand	downstream
0	XLOC_007714	TCONS_00015798	AT1G73460	AT1G73460.1	antisense	intergenic	8120	convergent	downstream
